factor,mean,median,variance,std,recommended_weight
daily_swing_structure,1.1799673756231182,0.999986445133118,0.6198268607724938,0.7872908362050798,1.1799673756231182
daily_internal_structure,1.1866043170619398,1.0908352831494197,0.4647313980670816,0.681712107907056,1.1866043170619398
daily_fractal_structure,0.8874199437040892,0.8320034090100542,0.14173607215419573,0.37647851486399025,0.8874199437040892
h4_swing_structure,0.86302011560326,0.8583214907236856,0.1621510664375363,0.4026798560116166,0.86302011560326
h4_internal_structure,0.8745818332285283,0.7935849362651834,0.168500030388909,0.41048755205110543,0.8745818332285283
h4_fractal_structure,0.4628374022256619,0.4144658473524756,0.029639888218645924,0.1721623890942674,0.4628374022256619
h1_swing_structure,0.5257934448488846,0.5296694797901316,0.028778574418146918,0.16964249001399065,0.5257934448488846
h1_internal_structure,0.2574586244595949,0.23309248877345284,0.018288099164480768,0.13523349867721668,0.2574586244595949
h1_fractal_structure,0.2574586244595949,0.23309248877345284,0.018288099164480768,0.13523349867721668,0.2574586244595949
daily_swing_zone,0.5070524395550527,0.4350366454464212,0.06647998575857124,0.2578371302946324,0.5070524395550527
daily_internal_zone,0.6334226703988259,0.5671039168067208,0.10869852376512833,0.32969459165283305,0.6334226703988259
h4_swing_zone,0.55284490475817,0.4826021166748874,0.09597038408989454,0.30979087154061613,0.55284490475817
h4_internal_zone,0.5702357887790731,0.5044155581804763,0.08153212915018718,0.2855383146798117,0.5702357887790731
h1_swing_zone,0.47870345751404386,0.46547011386436693,0.03882196349958722,0.19703289953606026,0.47870345751404386
h1_internal_zone,0.2574586244595949,0.23309248877345284,0.018288099164480768,0.13523349867721668,0.2574586244595949
