date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2020-01-03,Friday,london,2020-01-03 07:00:00+00:00,2020-01-03 19:00:00+00:00,bearish,120.394,121.377,117.93650000000002,120.655,0.9829999999999899,50.0,loss,-0.2655137334689709,friday_close,0.23092573753815485,-0.2655137334689709,friday_close,False,0,12,0 days 12:00:00,0.0,True,,,2.5
2020-01-20,Monday,london,2020-01-20 07:00:00+00:00,2020-01-20 19:00:00+00:00,bearish,122.174,122.314,121.82400000000004,122.174,0.13999999999998636,37.5,breakeven,0.0,be_stop,1.0071428571429935,0.0,be_stop,True,1,12,0 days 12:00:00,1.5999999999991132,True,,,2.5
2020-01-22,Wednesday,ny,2020-01-22 14:00:00+00:00,2020-01-22 19:00:00+00:00,bearish,121.676,122.008,120.84600000000002,121.827,0.33199999999999363,37.5,loss,-0.4548192771084312,cut_19h,0.19277108433737467,-0.4548192771084312,cut_19h,False,1,5,0 days 05:00:00,0.0,True,,,2.5
2020-01-23,Thursday,ny,2020-01-23 14:00:00+00:00,2020-01-23 19:00:00+00:00,bearish,121.08,121.574,119.845,121.08,0.4939999999999998,37.5,breakeven,0.0,be_stop,0.9048582995951476,0.0,be_stop,True,1,5,0 days 05:00:00,1.3999999999995794,True,,,2.5
2020-01-24,Friday,london,2020-01-24 09:00:00+00:00,2020-01-24 15:00:00+00:00,bearish,120.918,121.055,120.5755,120.5755,0.13700000000000045,0.0,win,2.5,tp,3.6788321167883447,3.153284671532852,friday_close,False,0,6,0 days 06:00:00,0.0,True,,,2.5
2020-01-24,Friday,ny,2020-01-24 14:00:00+00:00,2020-01-24 19:00:00+00:00,bearish,120.746,120.981,120.1585,120.486,0.23499999999999943,0.0,win,1.1063829787233683,friday_close,1.4127659574467848,1.1063829787233683,friday_close,False,0,5,0 days 05:00:00,0.0,True,,,2.5
2020-01-28,Tuesday,london,2020-01-28 08:00:00+00:00,2020-01-28 16:00:00+00:00,bearish,120.018,120.173,119.6305,120.173,0.15500000000000114,50.0,loss,-1.0,sl,1.3677419354838822,-1.0,sl,False,0,8,0 days 08:00:00,1.300000000000523,True,,,2.5
2020-01-30,Thursday,london,2020-01-30 07:00:00+00:00,2020-01-30 09:00:00+00:00,bearish,119.872,119.999,119.55450000000002,119.999,0.12699999999999534,37.5,loss,-1.0,sl,0.20472440944879688,-1.0,sl,False,0,2,0 days 02:00:00,8.200000000000784,True,,,2.5
2020-02-07,Friday,london,2020-02-07 07:00:00+00:00,2020-02-07 19:00:00+00:00,bearish,120.558,120.76,120.05300000000001,120.111,0.20199999999999818,0.0,win,2.2128712871287464,friday_close,2.2425742574257774,2.2128712871287464,friday_close,False,0,12,0 days 12:00:00,0.0,True,,,2.5
2020-02-10,Monday,london,2020-02-10 07:00:00+00:00,2020-02-10 14:00:00+00:00,bearish,120.205,120.338,119.8725,119.8725,0.13299999999999557,-12.5,win,2.5,tp,4.609022556391127,0.0,be_stop,True,2,7,0 days 07:00:00,9.700000000000841,True,,,2.5
2020-02-10,Monday,ny,2020-02-10 13:00:00+00:00,2020-02-11 08:00:00+00:00,bearish,119.98,120.334,119.095,119.98,0.3539999999999992,-12.5,breakeven,0.0,be_stop,0.8559322033898247,0.0,be_stop,True,1,19,0 days 19:00:00,2.599999999999625,True,,,2.5
2020-02-11,Tuesday,ny,2020-02-11 13:00:00+00:00,2020-02-11 15:00:00+00:00,bearish,119.699,120.006,118.9315,120.006,0.30700000000000216,75.0,loss,-1.0,sl,0.03908794788273736,-1.0,sl,False,0,2,0 days 02:00:00,1.8000000000000682,True,,,2.5
2020-02-18,Tuesday,ny,2020-02-18 12:00:00+00:00,2020-02-19 01:00:00+00:00,bearish,118.708,118.915,118.19049999999999,118.708,0.20700000000000784,100.0,breakeven,0.0,be_stop,1.1884057971013806,0.0,be_stop,True,1,13,0 days 13:00:00,10.699999999999932,True,,,2.5
2020-02-24,Monday,ny,2020-02-24 14:00:00+00:00,2020-02-24 20:00:00+00:00,bearish,120.154,120.589,119.06649999999999,120.154,0.4350000000000023,25.0,breakeven,0.0,be_stop,0.5862068965517107,0.0,be_stop,True,1,6,0 days 06:00:00,6.300000000000239,True,,,2.5
2020-02-25,Tuesday,london,2020-02-25 08:00:00+00:00,2020-02-26 02:00:00+00:00,bearish,120.057,120.533,118.867,120.057,0.4759999999999991,50.0,breakeven,0.0,be_stop,1.3592436974790059,0.0,be_stop,True,1,18,0 days 18:00:00,1.8000000000000682,True,,,2.5
2020-03-06,Friday,london,2020-03-06 09:00:00+00:00,2020-03-06 11:00:00+00:00,bearish,118.778,119.343,117.36550000000001,119.343,0.5649999999999977,75.0,loss,-1.0,sl,0.12566371681418131,-1.0,sl,False,0,2,0 days 02:00:00,0.0999999999990564,True,,,2.5
2020-03-12,Thursday,london,2020-03-12 09:00:00+00:00,2020-03-12 13:00:00+00:00,bearish,116.767,117.688,114.46449999999999,117.688,0.9210000000000065,100.0,loss,-1.0,sl,0.4983713355048705,-1.0,sl,False,0,4,0 days 04:00:00,0.49999999999954525,True,,,2.5
2020-03-16,Monday,ny,2020-03-16 12:00:00+00:00,2020-03-16 19:00:00+00:00,bearish,117.581,119.333,113.20100000000002,118.546,1.7519999999999953,0.0,loss,-0.5507990867579943,cut_19h,0.2551369863013721,-0.5507990867579943,cut_19h,False,1,7,0 days 07:00:00,0.0,True,,,2.5
2020-03-17,Tuesday,london,2020-03-17 08:00:00+00:00,2020-03-18 23:00:00+00:00,bearish,118.698,119.684,116.23299999999998,118.698,0.9860000000000042,50.0,breakeven,0.0,be_stop,1.8265720081135701,0.0,be_stop,True,2,39,1 days 15:00:00,22.60000000000133,True,,,2.5
2020-03-18,Wednesday,ny,2020-03-18 14:00:00+00:00,2020-03-18 19:00:00+00:00,bearish,117.468,118.409,115.1155,117.468,0.9410000000000025,37.5,breakeven,0.0,be_stop,0.6068012752391035,0.0,be_stop,True,1,5,0 days 05:00:00,37.999999999999545,True,,,2.5
2020-03-27,Friday,london,2020-03-27 09:00:00+00:00,2020-03-27 19:00:00+00:00,bearish,119.753,120.196,118.6455,119.824,0.44299999999999784,12.5,loss,-0.16027088036117,friday_close,2.1467268623024784,-0.16027088036117,friday_close,False,0,10,0 days 10:00:00,0.0,True,,,2.5
2020-03-30,Monday,ny,2020-03-30 13:00:00+00:00,2020-03-30 18:00:00+00:00,bearish,118.994,119.856,116.83900000000001,119.023,0.8619999999999948,12.5,loss,-0.033642691415309206,cut_19h,0.23085846867749335,-0.033642691415309206,cut_19h,False,1,5,0 days 05:00:00,0.0,True,,,2.5
2020-03-31,Tuesday,ny,2020-03-31 13:00:00+00:00,2020-03-31 18:00:00+00:00,bearish,118.556,119.394,116.46099999999998,118.556,0.8380000000000081,12.5,breakeven,0.0,be_stop,0.4355608591885339,0.0,be_stop,True,1,5,0 days 05:00:00,14.000000000000057,True,,,2.5
2020-04-01,Wednesday,london,2020-04-01 06:00:00+00:00,2020-04-03 18:00:00+00:00,bearish,118.143,118.872,116.32050000000001,117.079,0.7289999999999992,12.5,win,1.4595336076817673,friday_close,2.460905349794237,1.4595336076817673,friday_close,True,2,60,2 days 12:00:00,0.0,True,,,2.5
2020-04-01,Wednesday,ny,2020-04-01 12:00:00+00:00,2020-04-01 20:00:00+00:00,bearish,117.371,118.872,113.61849999999998,117.371,1.5010000000000048,37.5,breakeven,0.0,be_stop,0.28447701532311204,0.0,be_stop,True,1,8,0 days 08:00:00,18.700000000001182,True,,,2.5
2020-04-02,Thursday,ny,2020-04-02 12:00:00+00:00,2020-04-02 14:00:00+00:00,bearish,116.614,117.439,114.55150000000003,117.439,0.8249999999999886,50.0,loss,-1.0,sl,0.32121212121212633,-1.0,sl,False,0,2,0 days 02:00:00,4.7000000000011255,True,,,2.5
2020-04-03,Friday,london,2020-04-03 06:00:00+00:00,2020-04-03 18:00:00+00:00,bearish,116.911,117.386,115.72350000000002,117.079,0.4749999999999943,50.0,loss,-0.3536842105263035,friday_close,0.3789473684210715,-0.3536842105263035,friday_close,False,0,12,0 days 12:00:00,0.0,True,,,2.5
2020-04-16,Thursday,ny,2020-04-16 13:00:00+00:00,2020-04-16 20:00:00+00:00,bearish,116.893,117.501,115.37299999999999,116.893,0.6080000000000041,75.0,breakeven,0.0,be_stop,0.5624999999999941,0.0,be_stop,True,1,7,0 days 07:00:00,10.200000000000387,True,,,2.5
2020-04-17,Friday,london,2020-04-17 06:00:00+00:00,2020-04-17 18:00:00+00:00,bearish,116.881,117.162,116.17849999999999,116.911,0.2810000000000059,75.0,loss,-0.10676156583630073,friday_close,0.9217081850533626,-0.10676156583630073,friday_close,False,0,12,0 days 12:00:00,0.0,True,,,2.5
2020-04-21,Tuesday,london,2020-04-21 07:00:00+00:00,2020-04-21 13:00:00+00:00,bearish,116.297,117.06,114.38949999999998,117.06,0.7630000000000052,75.0,loss,-1.0,sl,0.1022280471821788,-1.0,sl,False,0,6,0 days 06:00:00,9.999999999999432,True,,,2.5
2020-04-23,Thursday,london,2020-04-23 07:00:00+00:00,2020-04-23 14:00:00+00:00,bearish,116.2,116.669,115.02750000000002,116.669,0.4689999999999941,75.0,loss,-1.0,sl,1.0127931769723124,-1.0,sl,False,0,7,0 days 07:00:00,14.900000000000091,True,,,2.5
2020-04-24,Friday,london,2020-04-24 06:00:00+00:00,2020-04-24 10:00:00+00:00,bearish,115.647,116.072,114.58450000000002,116.072,0.42499999999999716,100.0,loss,-1.0,sl,0.24235294117649253,-1.0,sl,False,0,4,0 days 04:00:00,12.299999999999045,True,,,2.5
2020-04-28,Tuesday,ny,2020-04-28 13:00:00+00:00,2020-04-28 18:00:00+00:00,bearish,115.751,116.214,114.59350000000002,115.782,0.46299999999999386,87.5,loss,-0.06695464362849268,cut_19h,0.10583153347733745,-0.06695464362849268,cut_19h,False,1,5,0 days 05:00:00,0.0,True,,,2.5
2020-04-29,Wednesday,ny,2020-04-29 11:00:00+00:00,2020-04-29 12:00:00+00:00,bearish,115.451,115.779,114.63099999999999,115.779,0.32800000000000296,100.0,loss,-1.0,sl,0.00609756097559549,-1.0,sl,False,0,1,0 days 01:00:00,3.2000000000010687,True,,,2.5
2020-05-05,Tuesday,london,2020-05-05 08:00:00+00:00,2020-05-06 14:00:00+00:00,bearish,115.816,116.349,114.48349999999999,114.48349999999999,0.5330000000000013,37.5,win,2.5,tp,2.6078799249530906,0.2757973733583588,friday_close,True,3,30,1 days 06:00:00,0.0,True,,,2.5
2020-05-06,Wednesday,london,2020-05-06 07:00:00+00:00,2020-05-06 14:00:00+00:00,bearish,115.077,115.296,114.52949999999998,114.52949999999998,0.2190000000000083,100.0,win,2.5,tp,2.9726027397258976,0.0,be_stop,True,1,7,0 days 07:00:00,2.1000000000000796,True,,,2.5
2020-05-14,Thursday,ny,2020-05-14 13:00:00+00:00,2020-05-14 14:00:00+00:00,bearish,115.344,115.602,114.69899999999997,115.602,0.2580000000000098,75.0,loss,-1.0,sl,0.07751937984494288,-1.0,sl,False,0,1,0 days 01:00:00,15.899999999999181,True,,,2.5
2020-05-15,Friday,london,2020-05-15 06:00:00+00:00,2020-05-15 13:00:00+00:00,bearish,115.776,116.08,115.01599999999999,116.08,0.30400000000000205,75.0,loss,-1.0,sl,0.9934210526315476,-1.0,sl,False,0,7,0 days 07:00:00,1.300000000000523,True,,,2.5
2020-05-25,Monday,london,2020-05-25 06:00:00+00:00,2020-05-25 18:00:00+00:00,bearish,117.16,117.556,116.16999999999999,117.381,0.3960000000000008,37.5,loss,-0.5580808080808162,cut_19h,0.1919191919191749,-0.5580808080808162,cut_19h,False,1,12,0 days 12:00:00,0.0,True,,,2.5
2020-06-09,Tuesday,london,2020-06-09 06:00:00+00:00,2020-06-09 18:00:00+00:00,bearish,121.705,122.603,119.46000000000001,122.187,0.8979999999999961,25.0,loss,-0.5367483296213824,cut_19h,0.420935412026728,-0.5367483296213824,cut_19h,False,1,12,0 days 12:00:00,0.0,True,,,2.5
2020-06-17,Wednesday,ny,2020-06-17 13:00:00+00:00,2020-06-17 18:00:00+00:00,bearish,120.372,121.233,118.21949999999998,120.447,0.8610000000000042,25.0,loss,-0.08710801393728511,cut_19h,0.254355400696856,-0.08710801393728511,cut_19h,False,1,5,0 days 05:00:00,0.0,True,,,2.5
2020-06-18,Thursday,ny,2020-06-18 13:00:00+00:00,2020-06-18 18:00:00+00:00,bearish,119.71,120.54,117.63499999999996,119.742,0.8300000000000125,75.0,loss,-0.03855421686748217,cut_19h,0.1457831325301124,-0.03855421686748217,cut_19h,False,1,5,0 days 05:00:00,0.0,True,,,2.5
