date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2021-01-08,Friday,london,2021-01-08 08:00:00+00:00,2021-01-08 13:00:00+00:00,bearish,1.22236,1.2277,1.2063399999999995,1.2277,0.005340000000000122,-5.565627110846518,loss,-1.0,sl,0.1161048689138256,-1.0,sl,False,0,5,0 days 05:00:00,7.500000000000284,False,40,77.1,3.0
2021-01-11,Monday,london,2021-01-11 09:00:00+00:00,2021-01-11 19:00:00+00:00,bearish,1.21605,1.22284,1.1956800000000005,1.21656,0.006789999999999852,47.09573714877357,loss,-0.0751104565537587,cut_19h,0.41826215022094815,-0.0751104565537587,cut_19h,False,1,10,0 days 10:00:00,0.0,True,40,77.1,3.0
2021-01-11,Monday,ny,2021-01-11 13:00:00+00:00,2021-01-11 19:00:00+00:00,bearish,1.21444,1.21998,1.1978199999999997,1.21656,0.0055400000000001,47.09573714877357,loss,-0.3826714801444194,cut_19h,0.2220216606498271,-0.3826714801444194,cut_19h,False,1,6,0 days 06:00:00,0.0,True,40,77.1,3.0
2021-01-14,Thursday,london,2021-01-14 08:00:00+00:00,2021-01-14 12:00:00+00:00,bullish,1.21585,1.21355,1.2227500000000007,1.21355,0.0023000000000001908,15.507490011860876,loss,-1.0,sl,0.3869565217390268,-1.0,sl,False,0,4,0 days 04:00:00,10.699999999999044,False,40,77.1,3.0
2021-01-14,Thursday,ny,2021-01-14 12:00:00+00:00,2021-01-14 17:00:00+00:00,bearish,1.21294,1.21674,1.2015399999999998,1.21674,0.0038000000000000256,34.492509988139126,loss,-1.0,sl,0.48421052631574457,-1.0,sl,False,0,5,0 days 05:00:00,11.000000000001009,False,40,77.1,3.0
2021-01-15,Friday,ny,2021-01-15 13:00:00+00:00,2021-01-15 19:00:00+00:00,bearish,1.21159,1.21443,1.20307,1.20807,0.0028399999999999537,47.09573714877357,win,1.2394366197183186,friday_close,1.352112676056305,1.2394366197183186,friday_close,False,0,6,0 days 06:00:00,0.0,True,40,77.1,3.0
2021-01-18,Monday,london,2021-01-18 09:00:00+00:00,2021-01-18 19:00:00+00:00,bearish,1.2062,1.20867,1.19879,1.20738,0.0024699999999999722,47.09573714877357,loss,-0.47773279352225595,cut_19h,0.34412955465588135,-0.47773279352225595,cut_19h,False,1,10,0 days 10:00:00,0.0,True,40,77.1,3.0
2021-01-25,Monday,london,2021-01-25 09:00:00+00:00,2021-01-26 12:00:00+00:00,bearish,1.21475,1.21832,1.2040399999999998,1.21475,0.003570000000000073,10.099918748854167,breakeven,0.0,be_stop,1.1176470588234892,0.0,be_stop,True,1,27,1 days 03:00:00,1.40000000000029,False,40,77.1,3.0
2021-01-25,Monday,ny,2021-01-25 14:00:00+00:00,2021-01-25 19:00:00+00:00,bearish,1.21207,1.21832,1.1933199999999997,1.21429,0.006250000000000089,-2.0090642094024624,loss,-0.3552000000000127,cut_19h,0.0783999999999796,-0.3552000000000127,cut_19h,False,1,5,0 days 05:00:00,0.0,False,40,77.1,3.0
2021-02-01,Monday,london,2021-02-01 08:00:00+00:00,2021-02-05 02:00:00+00:00,bearish,1.20888,1.21329,1.1956499999999999,1.1956499999999999,0.004410000000000025,-2.4474124779081614,win,3.0,tp,3.097505668934224,1.0498866213151667,friday_close,True,4,90,3 days 18:00:00,0.0,False,40,77.1,3.0
2021-02-03,Wednesday,london,2021-02-03 08:00:00+00:00,2021-02-03 20:00:00+00:00,bearish,1.20312,1.205,1.1974799999999997,1.20312,0.0018800000000001038,86.88235540423761,breakeven,0.0,be_stop,1.4468085106382476,0.0,be_stop,True,1,12,0 days 12:00:00,4.999999999999449,True,40,77.1,3.0
2021-02-04,Thursday,london,2021-02-04 08:00:00+00:00,2021-02-05 13:00:00+00:00,bearish,1.19931,1.20427,1.1844300000000005,1.19931,0.004959999999999853,86.88235540423761,breakeven,0.0,be_stop,0.8245967741936028,0.0,be_stop,True,1,29,1 days 05:00:00,30.69999999999906,True,40,77.1,3.0
2021-02-04,Thursday,ny,2021-02-04 14:00:00+00:00,2021-02-05 08:00:00+00:00,bearish,1.19808,1.20427,1.1795100000000003,1.19808,0.006189999999999918,86.88235540423761,breakeven,0.0,be_stop,0.4620355411954964,0.0,be_stop,True,1,18,0 days 18:00:00,6.599999999998829,True,40,77.1,3.0
2021-02-16,Tuesday,ny,2021-02-16 13:00:00+00:00,2021-02-16 19:00:00+00:00,bearish,1.21081,1.21501,1.19821,1.21124,0.0041999999999999815,25.66857108780495,loss,-0.10238095238098914,cut_19h,0.3142857142857128,-0.10238095238098914,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,77.1,3.0
2021-02-17,Wednesday,london,2021-02-17 07:00:00+00:00,2021-02-18 09:00:00+00:00,bearish,1.2074,1.20982,1.2001400000000004,1.2074,0.0024199999999998667,53.294307289202166,breakeven,0.0,be_stop,2.0991735537191127,0.0,be_stop,True,1,26,1 days 02:00:00,1.1999999999989797,True,40,77.1,3.0
2021-02-22,Monday,london,2021-02-22 07:00:00+00:00,2021-02-22 11:00:00+00:00,bearish,1.21096,1.21355,1.2031900000000004,1.21355,0.00258999999999987,53.294307289202166,loss,-1.0,sl,0.7142857142858,-1.0,sl,False,0,4,0 days 04:00:00,8.799999999999919,True,40,77.1,3.0
2021-02-24,Wednesday,ny,2021-02-24 13:00:00+00:00,2021-02-24 19:00:00+00:00,bearish,1.21333,1.21745,1.2009700000000003,1.21446,0.0041199999999999015,21.014076650015273,loss,-0.27427184466021903,cut_19h,0.5849514563106992,-0.27427184466021903,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,77.1,3.0
