date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2023-01-02,Monday,london,2023-01-02 07:00:00+00:00,2023-01-02 23:00:00+00:00,bearish,157.915,158.708,156.72549999999998,157.915,0.7930000000000064,100.0,breakeven,0.0,be_stop,0.8196721311475416,0.0,be_stop,True,1,16,0 days 16:00:00,46.50000000000034,True,40,126.2,1.5
2023-01-03,Tuesday,london,2023-01-03 08:00:00+00:00,2023-01-03 19:00:00+00:00,bearish,155.781,158.38,151.88250000000002,156.476,2.5989999999999895,100.0,loss,-0.2674105425163509,cut_19h,0.1689111196614062,-0.2674105425163509,cut_19h,False,1,11,0 days 11:00:00,0.0,False,40,126.2,1.5
2023-01-06,Friday,ny,2023-01-06 13:00:00+00:00,2023-01-06 19:00:00+00:00,bearish,159.058,160.013,157.6255,159.598,0.9550000000000125,73.10874615762779,loss,-0.5654450261780245,friday_close,0.1528795811518164,-0.5654450261780245,friday_close,False,0,6,0 days 06:00:00,0.0,True,40,126.2,1.5
2023-01-13,Friday,ny,2023-01-13 12:00:00+00:00,2023-01-13 19:00:00+00:00,bearish,156.491,157.416,155.10350000000005,156.316,0.924999999999983,75.24206683785785,win,0.18918918918920496,friday_close,0.9254054054054472,0.18918918918920496,friday_close,False,0,7,0 days 07:00:00,0.0,True,40,126.2,1.5
2023-01-25,Wednesday,london,2023-01-25 09:00:00+00:00,2023-01-25 19:00:00+00:00,bearish,159.842,160.921,158.22350000000006,160.494,1.0789999999999793,62.18489609720312,loss,-0.6042632066728446,cut_19h,0.3169601482854676,-0.6042632066728446,cut_19h,False,1,10,0 days 10:00:00,0.0,True,40,126.2,1.5
2023-01-31,Tuesday,ny,2023-01-31 13:00:00+00:00,2023-01-31 19:00:00+00:00,bearish,160.038,160.912,158.72700000000003,160.473,0.8739999999999952,64.42288489881493,loss,-0.49771167048055454,cut_19h,0.32151029748284604,-0.49771167048055454,cut_19h,False,1,6,0 days 06:00:00,0.0,True,40,126.2,1.5
2023-02-01,Wednesday,ny,2023-02-01 13:00:00+00:00,2023-02-01 21:00:00+00:00,bearish,159.64,160.664,158.10399999999998,159.64,1.024000000000001,63.27943352402146,breakeven,0.0,be_stop,0.7197265624999942,0.0,be_stop,True,1,8,0 days 08:00:00,1.6000000000019554,True,40,126.2,1.5
2023-02-08,Wednesday,london,2023-02-08 07:00:00+00:00,2023-02-09 05:00:00+00:00,bullish,158.355,157.56,159.54749999999996,158.355,0.7949999999999875,-19.893871785979947,breakeven,0.0,be_stop,0.8125786163522329,0.0,be_stop,True,1,22,0 days 22:00:00,24.499999999997613,False,40,126.2,1.5
2023-02-08,Wednesday,ny,2023-02-08 12:00:00+00:00,2023-02-08 22:00:00+00:00,bullish,158.428,157.922,159.187,158.428,0.5060000000000002,-19.893871785979947,breakeven,0.0,be_stop,0.794466403162085,0.0,be_stop,True,1,10,0 days 10:00:00,0.9999999999990905,False,40,126.2,1.5
2023-02-10,Friday,london,2023-02-10 07:00:00+00:00,2023-02-10 19:00:00+00:00,bearish,158.096,159.412,156.122,158.553,1.3160000000000025,70.74400331681541,loss,-0.3472644376899641,friday_close,0.4369300911854225,-0.3472644376899641,friday_close,False,0,12,0 days 12:00:00,0.0,False,40,126.2,1.5
2023-02-23,Thursday,london,2023-02-23 09:00:00+00:00,2023-02-23 13:00:00+00:00,bearish,162.241,162.744,161.48650000000004,162.744,0.5029999999999859,14.936973700513665,loss,-1.0,sl,0.12922465208753076,-1.0,sl,False,0,4,0 days 04:00:00,7.400000000001228,False,40,126.2,1.5
2023-03-02,Thursday,london,2023-03-02 08:00:00+00:00,2023-03-02 19:00:00+00:00,bearish,163.404,163.884,162.68400000000003,163.404,0.47999999999998977,20.10078987136172,breakeven,0.0,be_stop,0.7145833333333264,0.0,be_stop,True,1,11,0 days 11:00:00,6.100000000000705,False,40,126.2,1.5
2023-03-02,Thursday,ny,2023-03-02 14:00:00+00:00,2023-03-02 19:00:00+00:00,bearish,163.104,163.81,162.04500000000002,163.37,0.7059999999999889,20.10078987136172,loss,-0.37677053824361945,cut_19h,0.06090651558074652,-0.37677053824361945,cut_19h,False,1,5,0 days 05:00:00,0.0,False,40,126.2,1.5
2023-03-03,Friday,ny,2023-03-03 14:00:00+00:00,2023-03-03 18:00:00+00:00,bearish,163.124,163.527,162.5195,163.527,0.4029999999999916,5.7751571722974075,loss,-1.0,sl,0.07444168734491753,-1.0,sl,False,0,4,0 days 04:00:00,2.200000000001978,False,40,126.2,1.5
2023-03-08,Wednesday,ny,2023-03-08 13:00:00+00:00,2023-03-08 19:00:00+00:00,bearish,162.048,162.961,160.67849999999999,162.439,0.9130000000000109,33.855382730726944,loss,-0.42825848849943754,cut_19h,0.38335158817085446,-0.42825848849943754,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,126.2,1.5
2023-03-13,Monday,london,2023-03-13 08:00:00+00:00,2023-03-13 12:00:00+00:00,bearish,161.897,163.063,160.148,160.148,1.1659999999999968,0.6113410014493579,win,1.5,tp,1.5986277873070407,-0.6217838765008789,cut_19h,False,1,4,0 days 04:00:00,0.0,False,40,126.2,1.5
2023-03-24,Friday,london,2023-03-24 08:00:00+00:00,2023-03-24 19:00:00+00:00,bearish,159.202,160.836,156.75099999999998,159.831,1.6340000000000146,28.974702138783265,loss,-0.38494492044062734,friday_close,0.5801713586291304,-0.38494492044062734,friday_close,False,0,11,0 days 11:00:00,0.0,False,40,126.2,1.5
2023-04-05,Wednesday,ny,2023-04-05 12:00:00+00:00,2023-04-05 19:00:00+00:00,bearish,163.541,164.558,162.0155,163.541,1.016999999999996,8.629706154872139,breakeven,0.0,be_stop,0.7620452310717885,0.0,be_stop,True,1,7,0 days 07:00:00,0.8000000000009777,False,40,126.2,1.5
2023-04-25,Tuesday,london,2023-04-25 07:00:00+00:00,2023-04-25 13:00:00+00:00,bearish,167.173,167.952,166.0045,166.0045,0.7789999999999964,-10.317118436900863,win,1.5,tp,2.2528883183568724,0.0,be_stop,True,2,6,0 days 06:00:00,5.89999999999975,False,40,126.2,1.5
2023-05-02,Tuesday,ny,2023-05-02 13:00:00+00:00,2023-05-04 06:00:00+00:00,bearish,170.873,172.324,168.69649999999996,168.69649999999996,1.4510000000000218,-15.480934607748912,win,1.5,tp,1.9441764300482118,0.42522398345966983,friday_close,True,3,41,1 days 17:00:00,0.0,False,40,126.2,1.5
2023-05-09,Tuesday,london,2023-05-09 07:00:00+00:00,2023-05-09 17:00:00+00:00,bearish,169.865,170.61,168.7475,170.61,0.7450000000000045,-15.480934607748912,loss,-1.0,sl,0.0,-1.0,sl,False,0,10,0 days 10:00:00,2.399999999997249,False,40,126.2,1.5
