date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2022-01-03,Monday,ny,2022-01-03 13:00:00+00:00,2022-01-04 07:00:00+00:00,bearish,1.34869,1.35278,1.3343749999999994,1.34869,0.004090000000000149,5.9357076349661755,breakeven,0.0,be_stop,1.3814180929094686,0.0,be_stop,True,1,18,0 days 18:00:00,1.80000000000069,False,75,42.2,3.5
2022-01-19,Wednesday,london,2022-01-19 07:00:00+00:00,2022-01-19 09:00:00+00:00,bearish,1.35892,1.36037,1.3538449999999993,1.36037,0.0014500000000001734,2.6839641399118275,loss,-1.0,sl,0.11034482758615093,-1.0,sl,False,0,2,0 days 02:00:00,15.999999999998238,False,75,42.2,3.5
2022-01-21,Friday,london,2022-01-21 07:00:00+00:00,2022-01-21 19:00:00+00:00,bearish,1.35757,1.36019,1.3483999999999998,1.3563,0.0026200000000000667,2.6839641399118275,win,0.48473282442742366,friday_close,1.1641221374045494,0.48473282442742366,friday_close,False,0,12,0 days 12:00:00,0.0,False,75,42.2,3.5
2022-01-24,Monday,london,2022-01-24 07:00:00+00:00,2022-01-24 15:00:00+00:00,bearish,1.35423,1.3565,1.346285,1.346285,0.0022699999999999942,65.2082045956007,win,3.5,tp,8.132158590308453,7.132158590308453,friday_close,True,4,8,0 days 08:00:00,0.0,False,75,42.2,3.5
2022-02-04,Friday,ny,2022-02-04 13:00:00+00:00,2022-02-04 19:00:00+00:00,bearish,1.3512,1.36144,1.3153599999999999,1.3542,0.010240000000000027,41.66040650207808,loss,-0.2929687500000103,friday_close,0.0449218749999906,-0.2929687500000103,friday_close,False,0,6,0 days 06:00:00,0.0,False,75,42.2,3.5
2022-02-14,Monday,london,2022-02-14 08:00:00+00:00,2022-02-14 19:00:00+00:00,bearish,1.34986,1.35479,1.3326050000000005,1.35248,0.004929999999999879,21.367403005533365,loss,-0.5314401622717868,cut_19h,0.07505070993914616,-0.5314401622717868,cut_19h,False,1,11,0 days 11:00:00,0.0,False,75,42.2,3.5
2022-02-15,Tuesday,ny,2022-02-15 14:00:00+00:00,2022-02-15 19:00:00+00:00,bearish,1.34894,1.35666,1.3219200000000002,1.35324,0.007719999999999949,37.32993400884022,loss,-0.5569948186528496,cut_19h,0.0414507772020855,-0.5569948186528496,cut_19h,False,1,5,0 days 05:00:00,0.0,False,75,42.2,3.5
2022-02-22,Tuesday,london,2022-02-22 07:00:00+00:00,2022-02-22 15:00:00+00:00,bearish,1.3566,1.35983,1.3452949999999997,1.35983,0.003230000000000066,49.16330626239789,loss,-1.0,sl,0.8637770897832858,-1.0,sl,False,0,8,0 days 08:00:00,4.599999999999049,False,75,42.2,3.5
2022-02-24,Thursday,london,2022-02-24 07:00:00+00:00,2022-02-25 19:00:00+00:00,bearish,1.3478,1.35491,1.3229150000000003,1.33967,0.00710999999999995,36.37320252617298,win,1.1434599156118495,friday_close,2.8888888888889097,1.1434599156118495,friday_close,True,1,36,1 days 12:00:00,0.0,False,75,42.2,3.5
2022-03-07,Monday,london,2022-03-07 08:00:00+00:00,2022-03-09 10:00:00+00:00,bearish,1.31678,1.32492,1.28829,1.31678,0.008140000000000036,100.0,breakeven,0.0,be_stop,1.0577395577395539,0.0,be_stop,True,2,50,2 days 02:00:00,12.799999999999478,False,75,42.2,3.5
