date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2021-01-04,Monday,london,2021-01-04 07:00:00+00:00,2021-01-04 15:00:00+00:00,bullish,0.72089,0.71842,0.7307700000000004,0.71842,0.0024700000000000832,47.54592520406697,loss,-1.0,sl,0.8663967611335416,-1.0,sl,False,0,8,0 days 08:00:00,3.2999999999994145,False,65,63.7,4.0
2021-01-11,Monday,ny,2021-01-11 13:00:00+00:00,2021-01-11 19:00:00+00:00,bearish,0.71651,0.72023,0.7016299999999998,0.71795,0.0037200000000000566,11.959355404705011,loss,-0.38709677419354166,cut_19h,0.5134408602150372,-0.38709677419354166,cut_19h,False,1,6,0 days 06:00:00,0.0,False,65,63.7,4.0
2021-01-12,Tuesday,ny,2021-01-12 13:00:00+00:00,2021-01-12 18:00:00+00:00,bearish,0.7166,0.71956,0.7047600000000002,0.71956,0.0029599999999999627,11.959355404705011,loss,-1.0,sl,0.2972972972972983,-1.0,sl,False,0,5,0 days 05:00:00,7.599999999999829,False,65,63.7,4.0
2021-01-15,Friday,ny,2021-01-15 13:00:00+00:00,2021-01-15 19:00:00+00:00,bearish,0.7163,0.7229,0.6899000000000003,0.71443,0.006599999999999939,0.8045672550802688,win,0.28333333333334176,friday_close,0.678787878787891,0.28333333333334176,friday_close,False,0,6,0 days 06:00:00,0.0,False,65,63.7,4.0
2021-01-18,Monday,london,2021-01-18 07:00:00+00:00,2021-01-18 19:00:00+00:00,bearish,0.71086,0.71352,0.7002200000000001,0.71086,0.0026599999999999957,56.17919534630338,breakeven,0.0,be_stop,0.47744360902255467,0.0,be_stop,True,1,12,0 days 12:00:00,0.6999999999990347,False,65,63.7,4.0
2021-01-19,Tuesday,ny,2021-01-19 14:00:00+00:00,2021-01-19 19:00:00+00:00,bearish,0.71058,0.7138,0.6977,0.71077,0.0032200000000000006,56.17919534630338,loss,-0.0590062111801315,cut_19h,0.04968944099376955,-0.0590062111801315,cut_19h,False,1,5,0 days 05:00:00,0.0,False,65,63.7,4.0
2021-01-22,Friday,ny,2021-01-22 12:00:00+00:00,2021-01-22 19:00:00+00:00,bearish,0.71755,0.71953,0.7096300000000001,0.7173,0.0019799999999999818,22.59601275683269,win,0.12626262626261353,friday_close,0.45959595959594685,0.12626262626261353,friday_close,False,0,7,0 days 07:00:00,0.0,False,65,63.7,4.0
2021-01-28,Thursday,london,2021-01-28 07:00:00+00:00,2021-01-28 19:00:00+00:00,bearish,0.71283,0.71983,0.6848299999999999,0.71918,0.007000000000000006,14.201562132077466,loss,-0.9071428571428675,cut_19h,0.3314285714285695,-0.9071428571428675,cut_19h,False,1,12,0 days 12:00:00,0.0,False,65,63.7,4.0
2021-02-10,Wednesday,london,2021-02-10 09:00:00+00:00,2021-02-10 19:00:00+00:00,bearish,0.72074,0.72397,0.7078200000000002,0.72131,0.003229999999999955,-9.156010829186611,loss,-0.176470588235284,cut_19h,0.25696594427244857,-0.176470588235284,cut_19h,False,1,10,0 days 10:00:00,0.0,False,65,63.7,4.0
2021-02-12,Friday,london,2021-02-12 07:00:00+00:00,2021-02-12 16:00:00+00:00,bearish,0.72071,0.72227,0.7144699999999999,0.72227,0.0015600000000000058,-11.26081584553426,loss,-1.0,sl,2.051282051282031,-1.0,sl,False,0,9,0 days 09:00:00,6.300000000000194,False,65,63.7,4.0
2021-02-12,Friday,ny,2021-02-12 13:00:00+00:00,2021-02-12 16:00:00+00:00,bearish,0.71816,0.72227,0.7017200000000002,0.72227,0.004109999999999947,35.65340770086755,loss,-1.0,sl,0.15815085158152015,-1.0,sl,False,0,3,0 days 03:00:00,6.300000000000194,False,65,63.7,4.0
2021-02-16,Tuesday,ny,2021-02-16 13:00:00+00:00,2021-02-16 19:00:00+00:00,bearish,0.72143,0.7268,0.6999500000000001,0.72143,0.005369999999999986,-9.156010829186611,breakeven,0.0,be_stop,0.31843575418994297,0.0,be_stop,True,1,6,0 days 06:00:00,0.9999999999998899,False,65,63.7,4.0
2021-02-17,Wednesday,london,2021-02-17 07:00:00+00:00,2021-02-17 08:00:00+00:00,bearish,0.71811,0.72061,0.7081100000000002,0.72061,0.0024999999999999467,-11.26081584553426,loss,-1.0,sl,0.10799999999999929,-1.0,sl,False,0,1,0 days 01:00:00,2.6999999999999247,False,65,63.7,4.0
2021-02-17,Wednesday,ny,2021-02-17 13:00:00+00:00,2021-02-17 19:00:00+00:00,bearish,0.7162,0.72134,0.6956399999999998,0.71811,0.005140000000000033,0.8045672550802688,loss,-0.37159533073931245,cut_19h,0.08949416342410543,-0.37159533073931245,cut_19h,False,1,6,0 days 06:00:00,0.0,False,65,63.7,4.0
2021-03-01,Monday,london,2021-03-01 08:00:00+00:00,2021-03-01 19:00:00+00:00,bearish,0.7262,0.72868,0.7162799999999998,0.72689,0.0024800000000000377,-32.71266141432434,loss,-0.2782258064516407,cut_19h,1.4959677419354576,-0.2782258064516407,cut_19h,False,1,11,0 days 11:00:00,0.0,False,65,63.7,4.0
2021-03-02,Tuesday,london,2021-03-02 07:00:00+00:00,2021-03-02 15:00:00+00:00,bearish,0.72191,0.72799,0.6975900000000002,0.72799,0.006079999999999974,-9.492490164085066,loss,-1.0,sl,0.16940789473685702,-1.0,sl,False,0,8,0 days 08:00:00,0.7999999999996898,False,65,63.7,4.0
