date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2022-01-04,Tuesday,ny,2022-01-04 14:00:00+00:00,2022-01-04 19:00:00+00:00,bearish,1.27122,1.27655,1.2632249999999998,1.2718,0.005330000000000057,13.52215219786627,loss,-0.10881801125703916,cut_19h,0.8517823639774746,-0.10881801125703916,cut_19h,False,1,5,0 days 05:00:00,0.0,False,45,35.5,1.5
2022-01-05,Wednesday,ny,2022-01-05 13:00:00+00:00,2022-01-05 19:00:00+00:00,bearish,1.27073,1.27251,1.2680599999999997,1.27073,0.0017800000000001148,27.9741077570328,breakeven,0.0,be_stop,0.9044943820223513,0.0,be_stop,True,1,6,0 days 06:00:00,48.799999999999955,False,45,35.5,1.5
2022-01-07,Friday,ny,2022-01-07 14:00:00+00:00,2022-01-07 19:00:00+00:00,bearish,1.26856,1.27269,1.2623649999999995,1.26394,0.004130000000000189,-11.285205184305266,win,1.1186440677965217,friday_close,1.1743341404357328,1.1186440677965217,friday_close,False,0,5,0 days 05:00:00,0.0,False,45,35.5,1.5
2022-01-10,Monday,london,2022-01-10 07:00:00+00:00,2022-01-10 12:00:00+00:00,bearish,1.26329,1.26558,1.2598550000000002,1.26558,0.0022899999999999032,14.088895553127703,loss,-1.0,sl,1.013100436681309,-1.0,sl,False,0,5,0 days 05:00:00,7.200000000000539,False,45,35.5,1.5
2022-01-11,Tuesday,london,2022-01-11 09:00:00+00:00,2022-01-11 16:00:00+00:00,bearish,1.26396,1.26657,1.2600449999999999,1.2600449999999999,0.002610000000000001,14.088895553127703,win,1.5,tp,7.160919540229833,2.915708812260495,friday_close,True,3,7,0 days 07:00:00,0.0,False,45,35.5,1.5
2022-01-13,Thursday,london,2022-01-13 07:00:00+00:00,2022-01-13 19:00:00+00:00,bearish,1.24847,1.2508,1.2449750000000002,1.24885,0.0023299999999999432,80.82338332085325,loss,-0.16309012875538895,cut_19h,1.3733905579398917,-0.16309012875538895,cut_19h,False,1,12,0 days 12:00:00,0.0,True,45,35.5,1.5
2022-01-13,Thursday,ny,2022-01-13 13:00:00+00:00,2022-01-13 19:00:00+00:00,bearish,1.24607,1.2508,1.2389750000000002,1.24885,0.004729999999999901,80.82338332085325,loss,-0.5877378435518104,cut_19h,0.16913319238899124,-0.5877378435518104,cut_19h,False,1,6,0 days 06:00:00,0.0,False,45,35.5,1.5
2022-01-19,Wednesday,london,2022-01-19 07:00:00+00:00,2022-01-19 09:00:00+00:00,bullish,1.25192,1.24863,1.2568549999999998,1.24863,0.003290000000000015,-19.901238142586823,loss,-1.0,sl,0.15501519756839152,-1.0,sl,False,0,2,0 days 02:00:00,8.099999999999774,False,45,35.5,1.5
2022-01-19,Wednesday,london,2022-01-19 09:00:00+00:00,2022-01-19 15:00:00+00:00,bearish,1.248,1.25105,1.243425,1.25105,0.003049999999999997,55.44928258342029,loss,-1.0,sl,0.9934426229508495,-1.0,sl,False,0,6,0 days 06:00:00,7.500000000000284,True,45,35.5,1.5
2022-01-20,Thursday,ny,2022-01-20 13:00:00+00:00,2022-01-20 20:00:00+00:00,bearish,1.24785,1.24971,1.2450599999999996,1.24785,0.0018600000000001948,80.82338332085325,breakeven,0.0,be_stop,1.3817204301073613,0.0,be_stop,True,1,7,0 days 07:00:00,36.30000000000022,True,45,35.5,1.5
