date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2025-01-15,Wednesday,london,2025-01-15 07:00:00+00:00,2025-01-15 16:00:00+00:00,bearish,0.91143,0.91289,0.9055899999999999,0.91289,0.0014600000000000168,6.1832104530384795,loss,-1.0,sl,2.5342465753423857,-1.0,sl,False,0,9,0 days 09:00:00,17.000000000000348,False,60,89.7,4.0
2025-01-15,Wednesday,ny,2025-01-15 13:00:00+00:00,2025-01-15 16:00:00+00:00,bearish,0.90933,0.91265,0.89605,0.91265,0.0033199999999999896,-0.7142743521885336,loss,-1.0,sl,0.05120481927710964,-1.0,sl,False,0,3,0 days 03:00:00,19.400000000000528,False,60,89.7,4.0
2025-01-16,Thursday,london,2025-01-16 08:00:00+00:00,2025-01-16 12:00:00+00:00,bearish,0.91092,0.91285,0.9031999999999996,0.91285,0.0019300000000000983,6.1832104530384795,loss,-1.0,sl,0.2176165803108573,-1.0,sl,False,0,4,0 days 04:00:00,2.7999999999994696,False,60,89.7,4.0
2025-01-20,Monday,ny,2025-01-20 13:00:00+00:00,2025-01-21 00:00:00+00:00,bearish,0.90883,0.91385,0.8887499999999999,0.90883,0.0050200000000000244,-4.4677799316154525,breakeven,0.0,be_stop,0.7450199203187368,0.0,be_stop,True,1,11,0 days 11:00:00,9.199999999999209,False,60,89.7,4.0
2025-01-22,Wednesday,london,2025-01-22 09:00:00+00:00,2025-01-22 14:00:00+00:00,bearish,0.90429,0.90723,0.8925300000000003,0.90723,0.0029399999999999427,32.678997456829755,loss,-1.0,sl,0.36394557823130486,-1.0,sl,False,0,5,0 days 05:00:00,0.49999999999994493,False,60,89.7,4.0
2025-01-27,Monday,london,2025-01-27 08:00:00+00:00,2025-01-27 23:00:00+00:00,bearish,0.90238,0.90727,0.8828199999999997,0.90238,0.004890000000000061,27.867016634863685,breakeven,0.0,be_stop,1.2044989775050874,0.0,be_stop,True,1,15,0 days 15:00:00,27.200000000000557,False,60,89.7,4.0
2025-02-04,Tuesday,ny,2025-02-04 14:00:00+00:00,2025-02-07 12:00:00+00:00,bearish,0.90716,0.90999,0.89584,0.90716,0.002829999999999999,9.152695176919368,breakeven,0.0,be_stop,2.4840989399293227,0.0,be_stop,True,3,70,2 days 22:00:00,1.80000000000069,False,60,89.7,4.0
2025-02-05,Wednesday,london,2025-02-05 07:00:00+00:00,2025-02-06 08:00:00+00:00,bearish,0.90376,0.90591,0.8951600000000001,0.90376,0.0021499999999999853,22.20216603870169,breakeven,0.0,be_stop,1.6883720930232777,0.0,be_stop,True,1,25,1 days 01:00:00,8.500000000000174,False,60,89.7,4.0
2025-02-13,Thursday,london,2025-02-13 07:00:00+00:00,2025-02-14 19:00:00+00:00,bearish,0.90918,0.914,0.8898999999999998,0.89819,0.0048200000000000465,23.827196845002568,win,2.280082987551834,friday_close,2.489626556016576,2.280082987551834,friday_close,True,1,36,1 days 12:00:00,0.0,False,60,89.7,4.0
2025-02-14,Friday,london,2025-02-14 09:00:00+00:00,2025-02-14 19:00:00+00:00,bearish,0.9018,0.90624,0.88404,0.89819,0.0044399999999999995,10.599601273219793,win,0.8130630630630636,friday_close,1.0405405405405561,0.8130630630630636,friday_close,False,0,10,0 days 10:00:00,0.0,False,60,89.7,4.0
2025-02-14,Friday,ny,2025-02-14 13:00:00+00:00,2025-02-14 19:00:00+00:00,bearish,0.8989,0.90487,0.8750200000000004,0.89819,0.00596999999999992,10.599601273219793,win,0.11892797319932964,friday_close,0.28810720268008005,0.11892797319932964,friday_close,False,0,6,0 days 06:00:00,0.0,False,60,89.7,4.0
2025-02-20,Thursday,london,2025-02-20 09:00:00+00:00,2025-02-20 11:00:00+00:00,bearish,0.90202,0.9029,0.8985000000000001,0.9029,0.0008799999999999919,22.07773075180857,loss,-1.0,sl,0.42045454545465444,-1.0,sl,False,0,2,0 days 02:00:00,1.3999999999991797,False,60,89.7,4.0
2025-02-20,Thursday,ny,2025-02-20 14:00:00+00:00,2025-02-21 19:00:00+00:00,bearish,0.90143,0.90304,0.89499,0.8978,0.0016100000000000003,26.889711573774633,win,2.254658385093112,friday_close,2.7763975155279335,2.254658385093112,friday_close,True,1,29,1 days 05:00:00,0.0,False,60,89.7,4.0
2025-03-04,Tuesday,london,2025-03-04 08:00:00+00:00,2025-03-06 03:00:00+00:00,bearish,0.89231,0.89673,0.8746300000000001,0.89231,0.0044199999999999795,80.51351750995074,breakeven,0.0,be_stop,1.527149321266983,0.0,be_stop,True,2,43,1 days 19:00:00,0.6999999999990347,True,60,89.7,4.0
2025-03-05,Wednesday,london,2025-03-05 07:00:00+00:00,2025-03-05 18:00:00+00:00,bearish,0.88767,0.89126,0.8733099999999996,0.89126,0.003590000000000093,100.0,loss,-1.0,sl,0.5877437325904987,-1.0,sl,False,0,11,0 days 11:00:00,0.0999999999995449,True,60,89.7,4.0
2025-03-10,Monday,london,2025-03-10 09:00:00+00:00,2025-03-10 15:00:00+00:00,bearish,0.87709,0.88034,0.8640900000000001,0.88034,0.003249999999999975,100.0,loss,-1.0,sl,0.40307692307693643,-1.0,sl,False,0,6,0 days 06:00:00,12.600000000000389,True,60,89.7,4.0
2025-03-18,Tuesday,london,2025-03-18 09:00:00+00:00,2025-03-19 11:00:00+00:00,bearish,0.87948,0.88182,0.87012,0.87948,0.0023400000000000087,85.32549833191682,breakeven,0.0,be_stop,1.542735042735038,0.0,be_stop,True,1,26,1 days 02:00:00,5.1000000000001044,True,60,89.7,4.0
2025-04-07,Monday,london,2025-04-07 06:00:00+00:00,2025-04-07 12:00:00+00:00,bearish,0.84906,0.85836,0.8118600000000001,0.85836,0.009299999999999975,100.0,loss,-1.0,sl,0.4354838709677429,-1.0,sl,False,0,6,0 days 06:00:00,2.9000000000001247,False,60,89.7,4.0
2025-04-08,Tuesday,london,2025-04-08 06:00:00+00:00,2025-04-09 18:00:00+00:00,bearish,0.85531,0.86046,0.8347100000000001,0.85531,0.005149999999999988,100.0,breakeven,0.0,be_stop,3.7708737864077744,0.0,be_stop,True,2,36,1 days 12:00:00,29.799999999999827,True,60,89.7,4.0
2025-04-08,Tuesday,ny,2025-04-08 12:00:00+00:00,2025-04-09 17:00:00+00:00,bearish,0.85285,0.86012,0.82377,0.85285,0.007269999999999999,100.0,breakeven,0.0,be_stop,2.3328748280605196,0.0,be_stop,True,1,29,1 days 05:00:00,24.399999999999977,True,60,89.7,4.0
2025-04-09,Wednesday,ny,2025-04-09 12:00:00+00:00,2025-04-09 17:00:00+00:00,bearish,0.83669,0.84661,0.7970100000000003,0.84661,0.009919999999999929,100.0,loss,-1.0,sl,0.0030241935483957386,-1.0,sl,False,0,5,0 days 05:00:00,86.80000000000021,False,60,89.7,4.0
2025-04-11,Friday,london,2025-04-11 07:00:00+00:00,2025-04-11 18:00:00+00:00,bearish,0.81599,0.82144,0.7941900000000002,0.81893,0.005449999999999955,100.0,loss,-0.539449541284418,friday_close,1.1192660550458797,-0.539449541284418,friday_close,False,0,11,0 days 11:00:00,0.0,True,60,89.7,4.0
2025-04-21,Monday,london,2025-04-21 07:00:00+00:00,2025-04-21 18:00:00+00:00,bearish,0.80442,0.81787,0.7506200000000002,0.80744,0.013449999999999962,100.0,loss,-0.22453531598513243,cut_19h,0.037918215613383786,-0.22453531598513243,cut_19h,False,1,11,0 days 11:00:00,0.0,False,60,89.7,4.0
2025-04-30,Wednesday,ny,2025-04-30 13:00:00+00:00,2025-04-30 18:00:00+00:00,bearish,0.82234,0.82631,0.8064599999999998,0.82288,0.003970000000000029,53.30717383896665,loss,-0.13602015113349647,cut_19h,0.24937027707806753,-0.13602015113349647,cut_19h,False,1,5,0 days 05:00:00,0.0,False,60,89.7,4.0
2025-05-05,Monday,ny,2025-05-05 13:00:00+00:00,2025-05-05 18:00:00+00:00,bearish,0.82178,0.82748,0.7989799999999998,0.82345,0.005700000000000038,40.99970614619449,loss,-0.2929824561403595,cut_19h,0.07017543859648302,-0.2929824561403595,cut_19h,False,1,5,0 days 05:00:00,0.0,False,60,89.7,4.0
2025-05-07,Wednesday,ny,2025-05-07 12:00:00+00:00,2025-05-07 18:00:00+00:00,bearish,0.8219,0.82621,0.8046599999999998,0.8219,0.004310000000000036,29.3971413807126,breakeven,0.0,be_stop,0.7842227378190048,0.0,be_stop,True,1,6,0 days 06:00:00,3.9000000000000146,False,60,89.7,4.0
2025-05-14,Wednesday,london,2025-05-14 08:00:00+00:00,2025-05-14 15:00:00+00:00,bearish,0.83558,0.84015,0.8173000000000001,0.84015,0.004569999999999963,14.787552965495934,loss,-1.0,sl,0.6936542669584315,-1.0,sl,False,0,7,0 days 07:00:00,4.20000000000087,False,60,89.7,4.0
2025-05-15,Thursday,london,2025-05-15 06:00:00+00:00,2025-05-16 10:00:00+00:00,bearish,0.83708,0.84355,0.8112000000000001,0.83708,0.006469999999999976,14.787552965495934,breakeven,0.0,be_stop,0.6862442040185497,0.0,be_stop,True,1,28,1 days 04:00:00,3.7999999999993594,False,60,89.7,4.0
2025-05-15,Thursday,ny,2025-05-15 13:00:00+00:00,2025-05-15 18:00:00+00:00,bearish,0.83556,0.83925,0.8207999999999996,0.83704,0.003690000000000082,14.787552965495934,loss,-0.4010840108401095,cut_19h,0.2628726287262585,-0.4010840108401095,cut_19h,False,1,5,0 days 05:00:00,0.0,False,60,89.7,4.0
2025-05-19,Monday,london,2025-05-19 06:00:00+00:00,2025-05-19 18:00:00+00:00,bearish,0.83416,0.83654,0.8246400000000003,0.83499,0.0023799999999999377,5.983507361917955,loss,-0.34873949579832736,cut_19h,0.9789915966387038,-0.34873949579832736,cut_19h,False,1,12,0 days 12:00:00,0.0,False,60,89.7,4.0
2025-05-23,Friday,ny,2025-05-23 11:00:00+00:00,2025-05-23 18:00:00+00:00,bearish,0.82281,0.82718,0.8053300000000001,0.82102,0.004369999999999985,36.578260009032334,win,0.40961098398171064,friday_close,0.5171624713958919,0.40961098398171064,friday_close,False,0,7,0 days 07:00:00,0.0,False,60,89.7,4.0
2025-05-29,Thursday,ny,2025-05-29 12:00:00+00:00,2025-05-30 07:00:00+00:00,bearish,0.82441,0.83378,0.78693,0.82441,0.00936999999999999,7.153535628395991,breakeven,0.0,be_stop,0.48452508004268874,0.0,be_stop,True,1,19,0 days 19:00:00,3.9000000000000146,False,60,89.7,4.0
2025-06-05,Thursday,ny,2025-06-05 13:00:00+00:00,2025-06-05 15:00:00+00:00,bearish,0.81743,0.82082,0.80387,0.82082,0.003390000000000004,95.18801917803394,loss,-1.0,sl,0.06194690265488001,-1.0,sl,False,0,2,0 days 02:00:00,5.5000000000005045,True,60,89.7,4.0
2025-06-11,Wednesday,ny,2025-06-11 12:00:00+00:00,2025-06-11 19:00:00+00:00,bearish,0.8206,0.82344,0.8092400000000002,0.8206,0.0028399999999999537,74.39297795521279,breakeven,0.0,be_stop,0.47183098591550343,0.0,be_stop,True,1,7,0 days 07:00:00,1.40000000000029,True,60,89.7,4.0
2025-06-16,Monday,ny,2025-06-16 13:00:00+00:00,2025-06-16 18:00:00+00:00,bearish,0.80968,0.8134,0.7947999999999997,0.81219,0.0037200000000000566,100.0,loss,-0.674731182795692,cut_19h,0.2231182795698884,-0.674731182795692,cut_19h,False,1,5,0 days 05:00:00,0.0,True,60,89.7,4.0
2025-06-20,Friday,ny,2025-06-20 12:00:00+00:00,2025-06-20 18:00:00+00:00,bullish,0.81712,0.81518,0.8248799999999997,0.81684,0.0019399999999999418,-16.615961092356603,loss,-0.14432989690719347,friday_close,0.6134020618557011,-0.14432989690719347,friday_close,False,0,6,0 days 06:00:00,0.0,False,60,89.7,4.0
2025-06-26,Thursday,london,2025-06-26 06:00:00+00:00,2025-06-27 18:00:00+00:00,bearish,0.80221,0.80519,0.79029,0.80003,0.0029799999999999827,100.0,win,0.7315436241610646,friday_close,2.1744966442952913,0.7315436241610646,friday_close,True,1,36,1 days 12:00:00,0.0,True,60,89.7,4.0
2025-06-27,Friday,london,2025-06-27 06:00:00+00:00,2025-06-27 18:00:00+00:00,bearish,0.79965,0.80152,0.7921699999999998,0.80003,0.0018700000000000383,100.0,loss,-0.20320855614975358,friday_close,2.0962566844918946,-0.20320855614975358,friday_close,False,0,12,0 days 12:00:00,0.0,True,60,89.7,4.0
2025-06-27,Friday,ny,2025-06-27 12:00:00+00:00,2025-06-27 18:00:00+00:00,bearish,0.79632,0.80178,0.77448,0.80003,0.00546000000000002,100.0,loss,-0.6794871794871753,friday_close,0.10805860805860389,-0.6794871794871753,friday_close,False,0,6,0 days 06:00:00,0.0,True,60,89.7,4.0
2025-06-30,Monday,london,2025-06-30 06:00:00+00:00,2025-07-01 07:00:00+00:00,bearish,0.79766,0.79943,0.7905800000000003,0.7905800000000003,0.0017699999999999383,100.0,win,4.0,tp,5.920903954802491,0.0,be_stop,True,3,25,1 days 01:00:00,9.799999999999809,True,60,89.7,4.0
2025-07-01,Tuesday,london,2025-07-01 07:00:00+00:00,2025-07-01 15:00:00+00:00,bearish,0.79035,0.79305,0.7795499999999999,0.79305,0.0027000000000000357,100.0,loss,-1.0,sl,1.1740740740740607,-1.0,sl,False,0,8,0 days 08:00:00,5.199999999999649,True,60,89.7,4.0
2025-07-03,Thursday,london,2025-07-03 06:00:00+00:00,2025-07-03 09:00:00+00:00,bearish,0.79018,0.79208,0.7825799999999999,0.79208,0.0019000000000000128,100.0,loss,-1.0,sl,0.06842105263155926,-1.0,sl,False,0,3,0 days 03:00:00,6.599999999999939,True,60,89.7,4.0
2025-07-04,Friday,ny,2025-07-04 12:00:00+00:00,2025-07-04 18:00:00+00:00,bullish,0.79425,0.79215,0.80265,0.79329,0.0020999999999999908,-30.513517509950745,loss,-0.45714285714284053,friday_close,0.06190476190474479,-0.45714285714284053,friday_close,False,0,6,0 days 06:00:00,0.0,False,60,89.7,4.0
2025-07-09,Wednesday,ny,2025-07-09 13:00:00+00:00,2025-07-09 18:00:00+00:00,bearish,0.79524,0.79749,0.7862399999999996,0.79526,0.0022500000000000853,73.7949758896337,loss,-0.008888888888897441,cut_19h,0.5999999999999606,-0.008888888888897441,cut_19h,False,1,5,0 days 05:00:00,0.0,True,60,89.7,4.0
2025-07-22,Tuesday,london,2025-07-22 07:00:00+00:00,2025-07-25 11:00:00+00:00,bearish,0.79737,0.79915,0.79025,0.79737,0.0017800000000000038,42.59677091627464,breakeven,0.0,be_stop,3.544943820224733,0.0,be_stop,True,3,76,3 days 04:00:00,2.4000000000001798,False,60,89.7,4.0
2025-07-22,Tuesday,ny,2025-07-22 13:00:00+00:00,2025-07-25 01:00:00+00:00,bearish,0.79638,0.79877,0.78682,0.79638,0.0023900000000000032,42.59677091627464,breakeven,0.0,be_stop,2.225941422594136,0.0,be_stop,True,3,60,2 days 12:00:00,2.9000000000001247,False,60,89.7,4.0
2025-07-23,Wednesday,london,2025-07-23 07:00:00+00:00,2025-07-23 13:00:00+00:00,bearish,0.79179,0.79445,0.78115,0.79445,0.0026599999999999957,100.0,loss,-1.0,sl,0.27443609022556753,-1.0,sl,False,0,6,0 days 06:00:00,4.699999999999704,True,60,89.7,4.0
