date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2023-01-02,Monday,ny,2023-01-02 13:00:00+00:00,2023-01-02 19:00:00+00:00,bearish,130.642,130.985,129.95599999999996,130.769,0.34300000000001774,67.87666511218097,loss,-0.37026239067056266,cut_19h,0.026239067055351794,-0.37026239067056266,cut_19h,False,1,6,0 days 06:00:00,0.0,True,40,330.4,2.0
2023-01-12,Thursday,london,2023-01-12 09:00:00+00:00,2023-01-12 18:00:00+00:00,bearish,130.956,131.898,129.07199999999997,129.07199999999997,0.9420000000000073,3.248413737878522,win,2.0,tp,3.717622080679372,3.298301486199534,friday_close,True,1,9,0 days 09:00:00,0.0,False,40,330.4,2.0
2023-01-13,Friday,ny,2023-01-13 14:00:00+00:00,2023-01-13 19:00:00+00:00,bearish,127.687,128.829,125.40299999999998,127.849,1.1420000000000101,100.0,loss,-0.14185639229422478,friday_close,0.2040280210157636,-0.14185639229422478,friday_close,False,0,5,0 days 05:00:00,0.0,True,40,330.4,2.0
2023-02-08,Wednesday,ny,2023-02-08 14:00:00+00:00,2023-02-08 19:00:00+00:00,bullish,131.379,130.591,132.95499999999996,131.249,0.7879999999999825,25.696486811585306,loss,-0.164974619289338,cut_19h,0.20050761421322205,-0.164974619289338,cut_19h,False,1,5,0 days 05:00:00,0.0,False,40,330.4,2.0
2023-02-09,Thursday,ny,2023-02-09 13:00:00+00:00,2023-02-09 16:00:00+00:00,bearish,130.4,131.111,128.97800000000004,131.111,0.7109999999999843,30.612961450905214,loss,-1.0,sl,0.0,-1.0,sl,False,0,3,0 days 03:00:00,5.200000000002092,False,40,330.4,2.0
2023-02-10,Friday,london,2023-02-10 07:00:00+00:00,2023-02-10 19:00:00+00:00,bearish,130.447,131.807,127.72700000000003,131.549,1.3599999999999852,42.99530479451037,loss,-0.8102941176470705,friday_close,0.4750000000000162,-0.8102941176470705,friday_close,False,0,12,0 days 12:00:00,0.0,True,40,330.4,2.0
2023-02-22,Wednesday,ny,2023-02-22 12:00:00+00:00,2023-02-22 19:00:00+00:00,bearish,134.48,134.995,133.44999999999996,134.72,0.5150000000000148,13.709673113604342,loss,-0.46601941747573244,cut_19h,0.17281553398057492,-0.46601941747573244,cut_19h,False,1,7,0 days 07:00:00,0.0,False,40,330.4,2.0
2023-03-06,Monday,london,2023-03-06 09:00:00+00:00,2023-03-06 19:00:00+00:00,bullish,136.093,135.527,137.225,136.049,0.5660000000000025,48.67267023000082,loss,-0.07773851590102919,cut_19h,0.17137809187280562,-0.07773851590102919,cut_19h,False,1,10,0 days 10:00:00,0.0,True,40,330.4,2.0
2023-03-10,Friday,ny,2023-03-10 14:00:00+00:00,2023-03-10 19:00:00+00:00,bearish,134.832,136.992,130.512,134.837,2.1599999999999966,44.298225971399084,loss,-0.002314814814812713,friday_close,0.33379629629629853,-0.002314814814812713,friday_close,False,0,5,0 days 05:00:00,0.0,True,40,330.4,2.0
2023-03-13,Monday,london,2023-03-13 09:00:00+00:00,2023-03-13 19:00:00+00:00,bearish,133.233,134.694,130.31100000000004,133.321,1.4609999999999843,67.23188113701194,loss,-0.060232717316902676,cut_19h,0.6509240246406596,-0.060232717316902676,cut_19h,False,1,10,0 days 10:00:00,0.0,True,40,330.4,2.0
2023-03-16,Thursday,ny,2023-03-16 12:00:00+00:00,2023-03-16 16:00:00+00:00,bearish,132.316,133.224,130.50000000000003,133.224,0.907999999999987,48.02788625483178,loss,-1.0,sl,0.6618942731277617,-1.0,sl,False,0,4,0 days 04:00:00,24.70000000000141,True,40,330.4,2.0
2023-03-24,Friday,london,2023-03-24 09:00:00+00:00,2023-03-24 13:00:00+00:00,bearish,129.76,130.477,128.32599999999996,130.477,0.717000000000013,48.02788625483178,loss,-1.0,sl,0.17015341701531864,-1.0,sl,False,0,4,0 days 04:00:00,13.300000000000978,True,40,330.4,2.0
2023-04-05,Wednesday,ny,2023-04-05 12:00:00+00:00,2023-04-05 18:00:00+00:00,bearish,131.017,131.78,129.49099999999999,131.087,0.7630000000000052,-5.979903860481904,loss,-0.09174311926604548,cut_19h,0.5321100917431234,-0.09174311926604548,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,330.4,2.0
2023-04-13,Thursday,ny,2023-04-13 12:00:00+00:00,2023-04-13 18:00:00+00:00,bearish,132.51,133.374,130.78199999999998,132.573,0.8640000000000043,17.97279230614639,loss,-0.07291666666668552,cut_19h,0.5717592592592562,-0.07291666666668552,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,330.4,2.0
2023-04-14,Friday,london,2023-04-14 07:00:00+00:00,2023-04-14 11:00:00+00:00,bearish,132.227,132.639,131.403,132.639,0.41200000000000614,38.50800661471541,loss,-1.0,sl,0.14320388349513744,-1.0,sl,False,0,4,0 days 04:00:00,10.499999999998977,False,40,330.4,2.0
2023-04-20,Thursday,ny,2023-04-20 12:00:00+00:00,2023-04-20 18:00:00+00:00,bearish,134.272,134.861,133.094,134.277,0.5889999999999986,5.071220056734385,loss,-0.008488964346342043,cut_19h,0.4431239388794504,-0.008488964346342043,cut_19h,False,1,6,0 days 06:00:00,0.0,False,40,330.4,2.0
2023-04-21,Friday,ny,2023-04-21 12:00:00+00:00,2023-04-21 13:00:00+00:00,bearish,133.637,134.108,132.695,134.108,0.47100000000000364,35.65977291452912,loss,-1.0,sl,0.18895966029723557,-1.0,sl,False,0,1,0 days 01:00:00,28.10000000000059,False,40,330.4,2.0
2023-04-26,Wednesday,ny,2023-04-26 13:00:00+00:00,2023-04-26 16:00:00+00:00,bearish,133.166,133.789,131.92000000000002,133.789,0.6229999999999905,49.0593184367231,loss,-1.0,sl,0.2455858747993482,-1.0,sl,False,0,3,0 days 03:00:00,9.200000000001296,True,40,330.4,2.0
2023-05-03,Wednesday,london,2023-05-03 06:00:00+00:00,2023-05-03 12:00:00+00:00,bearish,135.871,136.115,135.383,135.383,0.24399999999999977,11.866250411130968,win,2.0,tp,9.72540983606566,4.463114754098359,friday_close,True,2,6,0 days 06:00:00,0.0,False,40,330.4,2.0
2023-05-10,Wednesday,ny,2023-05-10 12:00:00+00:00,2023-05-10 20:00:00+00:00,bearish,134.402,135.469,132.26799999999997,134.402,1.0670000000000073,-26.51511816905093,breakeven,0.0,be_stop,0.27366447985001985,0.0,be_stop,True,1,8,0 days 08:00:00,0.0,False,40,330.4,2.0
