date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,exit_price,sl_size,probability,result,realised_r,exit_reason,max_r_reached,terminal_r,terminal_reason,be_moved,checkpoints,bars_held,trade_duration,sl_excursion_pips,taken,applied_threshold,applied_max_sl_pips,applied_tp_multiple
2022-01-04,Tuesday,ny,2022-01-04 14:00:00+00:00,2022-01-05 20:00:00+00:00,bullish,1810.105,1798.388,1833.5390000000002,1810.105,11.717000000000098,85.87852516928662,breakeven,0.0,be_stop,1.6624562601348365,0.0,be_stop,True,2,29,1 days 06:00:00,193.70000000001255,True,50,3233.7,2.0
2022-01-06,Thursday,ny,2022-01-06 12:00:00+00:00,2022-01-07 00:00:00+00:00,bearish,1791.638,1807.068,1760.7779999999998,1791.638,15.430000000000064,21.641702416210567,breakeven,0.0,be_stop,0.3467271548930581,0.0,be_stop,True,1,11,0 days 12:00:00,87.00000000001182,False,50,3233.7,2.0
2022-01-18,Tuesday,london,2022-01-18 08:00:00+00:00,2022-01-18 19:00:00+00:00,bearish,1811.988,1822.644,1790.6760000000002,1813.404,10.655999999999949,59.934211609808706,loss,-0.1328828828828779,cut_19h,0.5940315315315489,-0.1328828828828779,cut_19h,False,1,11,0 days 11:00:00,0.0,True,50,3233.7,2.0
2022-01-21,Friday,london,2022-01-21 08:00:00+00:00,2022-01-21 19:00:00+00:00,bearish,1831.548,1847.804,1799.0359999999998,1832.118,16.256000000000085,16.55674469367347,loss,-0.035063976377948655,friday_close,0.09005905511810618,-0.035063976377948655,friday_close,False,0,11,0 days 11:00:00,0.0,False,50,3233.7,2.0
2022-01-24,Monday,ny,2022-01-24 13:00:00+00:00,2022-01-24 19:00:00+00:00,bearish,1835.254,1844.208,1817.3459999999995,1841.034,8.954000000000178,19.338512126115962,loss,-0.6455215546124732,cut_19h,0.6361402725038865,-0.6455215546124732,cut_19h,False,1,6,0 days 06:00:00,0.0,False,50,3233.7,2.0
2022-01-27,Thursday,ny,2022-01-27 12:00:00+00:00,2022-01-28 10:00:00+00:00,bearish,1807.008,1816.774,1787.4760000000003,1787.4760000000003,9.765999999999849,36.339563974708156,win,2.0,tp,2.749334425558115,2.089903747696129,friday_close,True,1,21,0 days 22:00:00,0.0,False,50,3233.7,2.0
2022-01-28,Friday,london,2022-01-28 09:00:00+00:00,2022-01-28 19:00:00+00:00,bearish,1791.298,1799.308,1775.278,1786.598,8.009999999999991,47.03704844577568,win,0.5867665418227279,friday_close,1.390761548064933,0.5867665418227279,friday_close,False,0,10,0 days 10:00:00,0.0,False,50,3233.7,2.0
2022-02-23,Wednesday,ny,2022-02-23 13:00:00+00:00,2022-02-24 03:00:00+00:00,bullish,1901.125,1889.548,1924.279,1924.279,11.576999999999998,43.69711304441182,win,2.0,tp,6.329187181480515,0.0,be_stop,True,2,13,0 days 14:00:00,2318.69999999999,False,50,3233.7,2.0
2022-02-28,Monday,london,2022-02-28 07:00:00+00:00,2022-02-28 12:00:00+00:00,bearish,1896.308,1911.748,1865.4279999999999,1911.748,15.440000000000055,29.138982517487566,loss,-1.0,sl,0.10297927461139329,-1.0,sl,False,0,5,0 days 05:00:00,225.49999999998818,False,50,3233.7,2.0
2022-03-14,Monday,london,2022-03-14 08:00:00+00:00,2022-03-15 01:00:00+00:00,bearish,1967.402,1978.468,1945.27,1945.27,11.066000000000031,13.216809292309623,win,2.0,tp,6.5474426170251,3.9521055485270224,friday_close,True,4,16,0 days 17:00:00,0.0,False,50,3233.7,2.0
2022-03-16,Wednesday,ny,2022-03-16 14:00:00+00:00,2022-03-16 19:00:00+00:00,bearish,1909.703,1926.933,1875.243,1916.209,17.230000000000018,-15.602527096901337,loss,-0.37759721416135106,cut_19h,0.856355194428315,-0.37759721416135106,cut_19h,False,1,5,0 days 05:00:00,0.0,False,50,3233.7,2.0
2022-03-22,Tuesday,ny,2022-03-22 14:00:00+00:00,2022-03-22 19:00:00+00:00,bearish,1915.183,1930.803,1883.9429999999998,1922.813,15.620000000000118,13.216809292309623,loss,-0.4884763124199777,cut_19h,0.2723431498079304,-0.4884763124199777,cut_19h,False,1,5,0 days 05:00:00,0.0,False,50,3233.7,2.0
2022-03-29,Tuesday,london,2022-03-29 07:00:00+00:00,2022-03-29 12:00:00+00:00,bearish,1919.143,1929.168,1899.0930000000003,1899.0930000000003,10.024999999999864,-36.964374829472206,win,2.0,tp,2.907231920199539,0.0,be_stop,True,1,5,0 days 05:00:00,217.00000000000728,False,50,3233.7,2.0
2022-04-04,Monday,ny,2022-04-04 13:00:00+00:00,2022-04-04 14:00:00+00:00,bearish,1925.248,1932.963,1909.8180000000002,1932.963,7.714999999999918,-16.15149462681416,loss,-1.0,sl,0.12961762799740903,-1.0,sl,False,0,1,0 days 01:00:00,323.50000000001273,False,50,3233.7,2.0
2022-04-06,Wednesday,london,2022-04-06 08:00:00+00:00,2022-04-06 18:00:00+00:00,bullish,1926.215,1916.543,1945.559,1921.098,9.672000000000025,64.84397502370018,loss,-0.5290529363109955,cut_19h,0.7374896608767597,-0.5290529363109955,cut_19h,False,1,10,0 days 10:00:00,0.0,True,50,3233.7,2.0
2022-04-14,Thursday,ny,2022-04-14 13:00:00+00:00,2022-04-14 18:00:00+00:00,bearish,1961.917,1978.238,1929.2749999999996,1971.962,16.32100000000014,16.55674469367347,loss,-0.6154647386802271,cut_19h,0.09221248697995643,-0.6154647386802271,cut_19h,False,1,5,0 days 05:00:00,0.0,False,50,3233.7,2.0
2022-04-22,Friday,london,2022-04-22 08:00:00+00:00,2022-04-22 18:00:00+00:00,bearish,1943.692,1955.482,1920.112,1933.182,11.789999999999964,36.339563974708156,win,0.8914334181509774,friday_close,1.4617472434266308,0.8914334181509774,friday_close,False,0,10,0 days 10:00:00,0.0,False,50,3233.7,2.0
2022-04-26,Tuesday,london,2022-04-26 07:00:00+00:00,2022-04-26 10:00:00+00:00,bearish,1896.588,1907.398,1874.968,1907.398,10.809999999999945,47.03704844577568,loss,-1.0,sl,0.05180388529139207,-1.0,sl,False,0,3,0 days 03:00:00,212.5,False,50,3233.7,2.0
2022-04-27,Wednesday,london,2022-04-27 08:00:00+00:00,2022-04-27 12:00:00+00:00,bearish,1893.368,1906.878,1866.348,1906.878,13.509999999999991,47.03704844577568,loss,-1.0,sl,0.01480384900074357,-1.0,sl,False,0,4,0 days 04:00:00,1.999999999998181,False,50,3233.7,2.0
2022-05-06,Friday,london,2022-05-06 08:00:00+00:00,2022-05-06 18:00:00+00:00,bullish,1881.668,1866.001,1913.0019999999997,1882.188,15.666999999999916,-25.856384834986628,win,0.033190783174839596,friday_close,0.683283334397154,0.033190783174839596,friday_close,False,0,10,0 days 10:00:00,0.0,False,50,3233.7,2.0
2022-05-12,Thursday,ny,2022-05-12 11:00:00+00:00,2022-05-12 22:00:00+00:00,bearish,1842.358,1853.998,1819.0779999999997,1819.0779999999997,11.6400000000001,100.0,win,2.0,tp,3.727663230240507,2.8801546391752213,friday_close,True,1,10,0 days 11:00:00,0.0,True,50,3233.7,2.0
2022-05-13,Friday,ny,2022-05-13 12:00:00+00:00,2022-05-13 18:00:00+00:00,bearish,1810.168,1828.678,1773.1479999999995,1808.833,18.51000000000022,100.0,win,0.07212317666125301,friday_close,0.605078336034559,0.07212317666125301,friday_close,False,0,6,0 days 06:00:00,0.0,True,50,3233.7,2.0
2022-05-16,Monday,london,2022-05-16 06:00:00+00:00,2022-05-16 17:00:00+00:00,bearish,1806.578,1817.488,1784.7579999999998,1817.488,10.910000000000082,100.0,loss,-1.0,sl,1.8276810265811094,-1.0,sl,False,0,11,0 days 11:00:00,47.00000000000273,True,50,3233.7,2.0
2022-05-20,Friday,ny,2022-05-20 13:00:00+00:00,2022-05-20 18:00:00+00:00,bearish,1836.208,1847.693,1813.2380000000003,1843.168,11.4849999999999,64.29500749378735,loss,-0.6060078363082168,friday_close,0.35089246843709254,-0.6060078363082168,friday_close,False,0,5,0 days 05:00:00,0.0,True,50,3233.7,2.0
2022-06-14,Tuesday,ny,2022-06-14 11:00:00+00:00,2022-06-15 01:00:00+00:00,bearish,1817.058,1831.538,1788.098,1817.058,14.480000000000018,76.87724531760146,breakeven,0.0,be_stop,0.8352900552486197,0.0,be_stop,True,1,13,0 days 14:00:00,34.999999999990905,True,50,3233.7,2.0
2022-06-28,Tuesday,london,2022-06-28 06:00:00+00:00,2022-06-28 10:00:00+00:00,bullish,1827.028,1822.228,1836.628,1822.228,4.7999999999999545,-13.841620147073677,loss,-1.0,sl,0.4966666666666744,-1.0,sl,False,0,4,0 days 04:00:00,0.9999999999990905,False,50,3233.7,2.0
2022-06-29,Wednesday,london,2022-06-29 06:00:00+00:00,2022-06-29 10:00:00+00:00,bearish,1817.552,1822.968,1806.7199999999996,1822.968,5.416000000000167,76.87724531760146,loss,-1.0,sl,1.0291728212702491,-1.0,sl,False,0,4,0 days 04:00:00,342.99999999998363,True,50,3233.7,2.0
2022-07-05,Tuesday,london,2022-07-05 07:00:00+00:00,2022-07-05 13:00:00+00:00,bearish,1806.008,1812.058,1793.9080000000001,1793.9080000000001,6.0499999999999545,78.18476492071544,win,2.0,tp,10.0,10.309752066115784,friday_close,True,3,6,0 days 06:00:00,0.0,True,50,3233.7,2.0
2022-07-07,Thursday,ny,2022-07-07 12:00:00+00:00,2022-07-07 13:00:00+00:00,bearish,1739.478,1747.558,1723.3180000000002,1747.558,8.079999999999927,100.0,loss,-1.0,sl,0.20049504950496694,-1.0,sl,False,0,1,0 days 01:00:00,112.59999999999764,True,50,3233.7,2.0
2022-07-08,Friday,london,2022-07-08 07:00:00+00:00,2022-07-08 14:00:00+00:00,bearish,1736.419,1746.508,1716.2410000000002,1746.508,10.088999999999942,100.0,loss,-1.0,sl,0.34691247893745863,-1.0,sl,False,0,7,0 days 07:00:00,587.8999999999905,True,50,3233.7,2.0
2022-07-13,Wednesday,ny,2022-07-13 12:00:00+00:00,2022-07-13 13:00:00+00:00,bearish,1712.578,1728.654,1680.426,1728.654,16.076000000000022,100.0,loss,-1.0,sl,0.1300074645434135,-1.0,sl,False,0,1,0 days 01:00:00,27.40000000001146,True,50,3233.7,2.0
2022-07-21,Thursday,london,2022-07-21 06:00:00+00:00,2022-07-21 15:00:00+00:00,bearish,1689.334,1714.411,1639.18,1714.411,25.076999999999998,100.0,loss,-1.0,sl,0.34238545280536004,-1.0,sl,False,0,9,0 days 09:00:00,383.6999999999989,True,50,3233.7,2.0
2022-08-08,Monday,london,2022-08-08 07:00:00+00:00,2022-08-09 08:00:00+00:00,bullish,1777.658,1771.148,1790.6779999999999,1790.6779999999999,6.509999999999991,8.827747188611161,win,2.0,tp,4.625192012288813,3.2642089093702045,friday_close,True,4,24,1 days 01:00:00,0.0,False,50,3233.7,2.0
2022-08-12,Friday,ny,2022-08-12 11:00:00+00:00,2022-08-12 12:00:00+00:00,bearish,1785.245,1794.024,1767.687,1794.024,8.778999999999996,26.696061195819638,loss,-1.0,sl,0.045677184189525016,-1.0,sl,False,0,1,0 days 01:00:00,29.40000000000964,False,50,3233.7,2.0
2022-08-15,Monday,london,2022-08-15 08:00:00+00:00,2022-08-19 14:00:00+00:00,bearish,1783.424,1801.588,1747.096,1747.096,18.163999999999987,2.0990586840925767,win,2.0,tp,2.0834067386038373,1.8613741466637288,friday_close,True,4,98,4 days 06:00:00,0.0,False,50,3233.7,2.0
2022-08-16,Tuesday,london,2022-08-16 07:00:00+00:00,2022-08-16 18:00:00+00:00,bearish,1775.864,1783.038,1761.516,1776.244,7.173999999999978,72.51644943362278,loss,-0.0529690549205301,cut_19h,0.6267075550599538,-0.0529690549205301,cut_19h,False,1,11,0 days 11:00:00,0.0,True,50,3233.7,2.0
2022-08-17,Wednesday,london,2022-08-17 07:00:00+00:00,2022-08-17 12:00:00+00:00,bearish,1773.444,1777.444,1765.444,1765.444,4.0,72.51644943362278,win,2.0,tp,6.965750000000014,5.957499999999982,friday_close,True,2,5,0 days 05:00:00,0.0,True,50,3233.7,2.0
2022-08-26,Friday,london,2022-08-26 08:00:00+00:00,2022-08-26 15:00:00+00:00,bearish,1752.128,1758.684,1739.0159999999998,1739.0159999999998,6.55600000000004,50.90466553840375,win,2.0,tp,2.756253813300767,1.9926784624770852,friday_close,False,0,7,0 days 07:00:00,0.0,True,50,3233.7,2.0
2022-08-30,Tuesday,london,2022-08-30 06:00:00+00:00,2022-08-30 08:00:00+00:00,bearish,1732.394,1736.848,1723.486,1736.848,4.453999999999951,100.0,loss,-1.0,sl,0.7804220925011565,-1.0,sl,False,0,2,0 days 02:00:00,99.00000000000091,True,50,3233.7,2.0
