date,day,start_time,end_time,duration,session,sl_size_pips,max_rr,max_rr_to_be,htf_strength,trade_strength,final_probability,entry_model,direction,taken,exit_reason,terminal_r,sl_buffer_pips,tp_multiple,min_live_probability,year
Jan 2 2015,Friday,07:45,19:00,11:15,London,15.3,18.84,,22.73%,33.33%,43.75%,LC-2A,bearish,True,friday_close,16.1438,2.0,,28.57%,2015
Jan 7 2015,Wednesday,14:15,19:00,04:45,New York,60.15,0.65,,-18.75%,9.38%,11.22%,CE,bullish,True,cut_19h,-0.1471,2.0,,9.38%,2015
Jan 8 2015,Thursday,12:45,16:00,03:15,New York,18.0,2.69,,60.87%,66.67%,62.50%,LC-2B,bearish,True,sl,-1.0,2.0,,62.50%,2015
Jan 13 2015,Tuesday,14:30,19:00,76:30,New York,29.8,13.48,5.21,52.86%,44.90%,25.00%,LC-2A,bearish,True,friday_close,6.057,2.0,,40.00%,2015
Jan 16 2015,Friday,13:30,15:00,01:30,New York,50.9,0.04,,30.36%,40.00%,35.71%,CE,bearish,True,sl,-1.0,2.0,,35.71%,2015
Jan 16 2015,Friday,13:30,19:00,05:30,New York,23.2,5.15,,-23.91%,-7.69%,5.26%,LC-2A,bullish,True,friday_close,4.8147,2.0,,0.00%,2015
Jan 22 2015,Thursday,10:00,12:00,02:00,London,26.85,0.29,,28.26%,37.50%,22.58%,CE,bearish,True,sl,-1.0,2.0,,17.74%,2015
Jan 23 2015,Friday,07:30,10:00,02:30,London,19.8,3.31,,28.26%,40.91%,53.12%,LC-1,bearish,True,sl,-1.0,2.0,,45.00%,2015
Jan 27 2015,Tuesday,12:30,14:00,01:30,New York,32.7,0.64,,34.78%,40.00%,46.88%,LC-1,bearish,True,sl,-1.0,2.0,,45.74%,2015
Feb 3 2015,Tuesday,09:15,10:00,00:45,London,19.6,0.0,,54.35%,54.55%,48.57%,LC-1,bearish,True,sl,-1.0,2.0,,48.57%,2015
Feb 6 2015,Friday,13:15,19:00,05:45,New York,16.0,12.89,,18.75%,27.42%,27.42%,LC-2A,bullish,True,friday_close,10.1937,2.0,,25.00%,2015
Feb 10 2015,Tuesday,09:30,19:00,81:30,London,32.9,9.99,4.17,8.70%,38.04%,33.33%,LC-1,bullish,True,friday_close,5.617,2.0,,15.00%,2015
Feb 13 2015,Friday,08:15,19:00,10:45,London,38.3,1.32,,31.25%,44.29%,41.67%,CE,bullish,True,friday_close,-0.2977,2.0,,40.00%,2015
Feb 19 2015,Thursday,12:15,00:00,11:45,New York,45.2,0.78,0.74,8.70%,18.75%,18.48%,LC-2A,bearish,True,be_stop,0.0,2.0,,20.21%,2015
Mar 3 2015,Tuesday,08:15,19:00,82:45,London,22.4,10.78,2.01,6.25%,26.74%,33.82%,LC-1,bearish,True,friday_close,10.3973,2.0,,17.50%,2015
Mar 3 2015,Tuesday,08:15,19:00,82:45,London,22.4,10.78,2.01,6.25%,30.23%,38.24%,LC-1,bearish,False,friday_close,10.3973,2.0,,21.25%,2015
Mar 11 2015,Wednesday,09:00,10:00,01:00,London,7.5,0.0,,15.22%,20.31%,22.73%,CE,bullish,True,sl,-1.0,2.0,,22.73%,2015
Mar 23 2015,Monday,09:15,09:00,23:45,London,22.8,3.9,3.62,0.00%,22.86%,32.14%,LC-2A,bullish,True,be_stop,0.0,2.0,,22.86%,2015
May 4 2015,Monday,13:15,19:00,05:45,New York,28.8,0.69,,5.00%,22.00%,23.33%,LC-2A,bullish,True,cut_19h,-0.1563,2.0,,20.59%,2015
May 14 2015,Thursday,07:15,08:00,00:45,New York,18.2,1.18,,16.67%,26.92%,22.97%,CE,bearish,True,sl,-1.0,2.0,,22.97%,2015
May 15 2015,Friday,13:45,18:00,04:15,New York,35.0,0.35,,28.26%,34.38%,38.24%,LC-2B,bullish,True,sl,-1.0,2.0,,36.36%,2015
May 18 2015,Monday,07:45,11:00,51:15,London,16.9,12.21,4.27,6.25%,20.59%,21.05%,CE,bearish,True,be_stop,0.0,2.0,,16.67%,2015
May 22 2015,Friday,07:15,19:00,11:45,London,22.6,5.89,,12.50%,16.67%,30.23%,LC-2A,bearish,True,friday_close,5.4159,2.0,,21.88%,2015
May 29 2015,Friday,07:30,19:00,11:30,London,18.3,6.25,,18.75%,35.71%,20.59%,LC-2A,bearish,True,friday_close,0.5628,2.0,,5.81%,2015
Jun 2 2015,Tuesday,09:30,10:00,00:30,London,46.05,0.0,,35.71%,45.45%,41.30%,CE,bearish,True,sl,-1.0,2.0,,41.30%,2015
Jun 8 2015,Monday,08:15,09:00,00:45,London,30.3,0.12,,36.36%,43.33%,50.00%,LC-2A,bullish,True,sl,-1.0,2.0,,50.00%,2015
Jun 30 2015,Tuesday,09:15,10:00,00:45,London,32.5,0.0,,28.26%,31.08%,28.95%,LC-1,bearish,True,sl,-1.0,2.0,,28.95%,2015
Jul 1 2015,Wednesday,09:15,10:00,00:45,London,22.3,0.0,,2.17%,31.08%,22.97%,LC-1,bullish,True,sl,-1.0,2.0,,22.97%,2015
Jul 20 2015,Monday,08:15,07:00,22:45,London,18.1,4.07,4.07,8.70%,25.00%,32.14%,LC-2A,bearish,True,be_stop,0.0,2.0,,10.00%,2015
Aug 4 2015,Tuesday,09:30,12:00,02:30,London,41.5,0.02,,8.70%,44.12%,44.12%,LC-2B,bearish,True,sl,-1.0,2.0,,44.12%,2015
Aug 4 2015,Tuesday,09:30,12:00,02:30,London,41.5,0.02,,15.22%,41.18%,41.18%,LC-2B,bearish,True,sl,-1.0,2.0,,41.18%,2015
Aug 4 2015,Tuesday,09:30,12:00,02:30,London,41.5,0.02,,21.74%,44.12%,44.12%,LC-2A,bearish,False,sl,-1.0,2.0,,44.12%,2015
Aug 13 2015,Thursday,17:45,19:00,01:15,New York,50.4,0.18,0.18,22.41%,35.71%,30.56%,CE,bearish,True,be_stop,0.0,2.0,,27.78%,2015
Aug 31 2015,Monday,07:15,09:00,01:45,London,24.0,1.04,,34.78%,41.30%,41.30%,LC-1,bearish,True,sl,-1.0,2.0,,41.30%,2015
Sep 11 2015,Friday,14:45,19:00,04:15,New York,27.2,1.49,,33.33%,31.25%,28.12%,LC-2A,bearish,True,friday_close,0.5037,2.0,,26.60%,2015
Sep 23 2015,Wednesday,08:15,09:00,48:45,London,35.3,7.39,3.69,51.79%,44.19%,34.91%,LC-2A,bearish,True,be_stop,0.0,2.0,,41.46%,2015
Oct 1 2015,Thursday,09:15,03:00,17:45,London,26.1,2.54,2.54,45.45%,53.85%,52.13%,LC-2A,bearish,True,be_stop,0.0,2.0,,51.16%,2015
Oct 20 2015,Tuesday,17:15,19:00,01:45,New York,29.3,0.62,0.62,14.29%,35.71%,40.70%,CE,bullish,True,be_stop,0.0,2.0,,37.21%,2015
Oct 23 2015,Friday,14:00,19:00,05:00,New York,53.15,0.67,,15.22%,25.00%,31.82%,CE,bullish,True,friday_close,0.4751,2.0,,20.00%,2015
Nov 12 2015,Thursday,07:15,08:00,00:45,London,21.8,0.0,,21.74%,33.82%,31.82%,LC-2A,bullish,True,sl,-1.0,2.0,,31.82%,2015
Nov 18 2015,Wednesday,08:30,08:00,47:30,London,22.9,5.63,2.33,3.57%,21.43%,6.67%,LC-1,bullish,True,be_stop,0.0,2.0,,13.75%,2015
Nov 18 2015,Wednesday,08:15,09:00,00:45,London,18.7,0.0,,18.75%,32.35%,40.57%,LC-2A,bearish,True,sl,-1.0,2.0,,40.57%,2015
Nov 25 2015,Wednesday,14:15,19:00,04:45,New York,25.1,1.83,,30.00%,40.00%,34.78%,LC-2A,bearish,True,cut_19h,-0.243,2.0,,40.00%,2015
Nov 26 2015,Thursday,09:30,10:00,00:30,London,12.0,0.0,,-4.35%,6.76%,9.21%,LC-2A,bullish,True,sl,-1.0,2.0,,9.21%,2015
Dec 15 2015,Tuesday,14:30,03:00,60:30,New York,25.4,6.02,3.98,30.36%,23.17%,37.80%,LC-2A,bearish,True,be_stop,0.0,2.0,,36.67%,2015
Dec 21 2015,Monday,12:15,22:00,153:45,New York,15.4,11.69,5.28,54.35%,63.51%,54.55%,LC-1,bearish,True,friday_close,11.3896,2.0,,48.28%,2015
Dec 23 2015,Wednesday,09:45,19:00,09:15,London,26.8,1.6,1.6,-36.96%,7.45%,10.64%,LC-1,bullish,True,be_stop,0.0,2.0,,10.64%,2015
Jan 6 2016,Wednesday,14:00,19:00,05:00,New York,31.8,1.2,1.2,60.87%,48.28%,59.09%,LC-2A,bearish,True,be_stop,0.0,2.0,,50.00%,2016
Jan 6 2016,Wednesday,14:15,19:00,04:45,New York,35.9,0.92,0.92,60.87%,53.45%,63.64%,LC-2A,bearish,False,be_stop,0.0,2.0,,55.00%,2016
Jan 13 2016,Wednesday,12:15,19:00,06:45,New York,35.9,2.43,2.43,-20.00%,9.30%,9.21%,LC-2A,bullish,True,be_stop,0.0,2.0,,11.36%,2016
Jan 28 2016,Thursday,08:30,19:00,34:30,London,51.5,9.44,3.57,25.00%,42.86%,35.23%,CE,bullish,True,friday_close,6.0563,2.0,,40.00%,2016
Jan 28 2016,Thursday,14:30,01:00,10:30,New York,64.05,1.48,1.48,2.17%,15.62%,25.00%,CE,bullish,True,be_stop,0.0,2.0,,12.90%,2016
Feb 2 2016,Tuesday,09:15,15:00,05:45,London,25.8,4.6,,27.42%,32.14%,26.83%,LC-2A,bullish,True,sl,-1.0,2.0,,25.00%,2016
Feb 2 2016,Tuesday,14:15,15:00,00:45,New York,23.4,1.2,,27.42%,21.05%,21.25%,LC-2A,bullish,False,sl,-1.0,2.0,,21.25%,2016
Feb 5 2016,Friday,07:15,19:00,11:45,London,29.2,3.42,,41.30%,40.79%,22.97%,LC-1,bearish,True,friday_close,2.1267,2.0,,25.00%,2016
Feb 12 2016,Friday,12:45,18:00,05:15,New York,38.5,2.02,,60.87%,41.67%,51.61%,LC-1,bearish,True,sl,-1.0,2.0,,41.67%,2016
Feb 15 2016,Monday,08:15,00:00,15:45,London,53.8,0.9,0.83,-10.87%,27.78%,29.09%,LC-2A,bullish,True,be_stop,0.0,2.0,,27.78%,2016
Feb 18 2016,Thursday,09:00,20:00,11:00,London,29.5,4.89,4.89,-23.91%,4.17%,-1.47%,LC-2A,bullish,True,be_stop,0.0,2.0,,-7.81%,2016
Mar 3 2016,Thursday,09:15,19:00,33:45,London,27.2,7.62,2.29,3.57%,17.11%,5.71%,LC-2A,bullish,True,friday_close,7.5515,2.0,,17.50%,2016
Mar 10 2016,Thursday,08:45,12:00,03:15,London,23.4,2.36,,31.25%,32.50%,34.15%,LC-2A,bearish,True,sl,-1.0,2.0,,32.50%,2016
Mar 10 2016,Thursday,08:45,12:00,03:15,London,23.4,2.36,,31.25%,32.50%,34.15%,LC-2A,bearish,False,sl,-1.0,2.0,,32.50%,2016
Mar 10 2016,Thursday,13:00,19:00,06:00,New York,49.3,3.1,,8.70%,23.08%,18.18%,CE,bullish,True,cut_19h,-0.1501,2.0,,1.72%,2016
Mar 15 2016,Tuesday,12:15,13:00,00:45,New York,23.8,1.5,,8.70%,10.00%,12.90%,LC-2A,bullish,True,sl,-1.0,2.0,,12.90%,2016
Apr 26 2016,Tuesday,07:45,08:00,00:15,London,31.35,0.8,,15.22%,27.27%,29.41%,CE,bearish,True,sl,-1.0,2.0,,29.41%,2016
Apr 26 2016,Tuesday,13:00,04:00,39:00,New York,37.5,3.31,3.01,28.00%,25.00%,27.03%,CE,bullish,True,be_stop,0.0,2.0,,25.00%,2016
Apr 28 2016,Thursday,09:15,19:00,09:45,London,58.8,1.43,1.43,21.74%,36.17%,35.71%,LC-1,bearish,True,be_stop,0.0,2.0,,21.05%,2016
May 5 2016,Thursday,08:30,09:00,00:30,London,39.2,0.36,,28.26%,48.78%,48.78%,LC-2A,bearish,True,sl,-1.0,2.0,,48.78%,2016
May 9 2016,Monday,08:30,09:00,00:30,London,25.75,0.0,,40.00%,48.68%,44.29%,CE,bearish,True,sl,-1.0,2.0,,44.29%,2016
May 16 2016,Monday,09:15,14:00,04:45,London,32.7,0.87,,21.74%,37.80%,41.46%,CE,bearish,True,sl,-1.0,2.0,,41.46%,2016
May 16 2016,Monday,13:15,14:00,00:45,New York,20.5,0.0,,28.26%,34.15%,41.67%,LC-2A,bearish,False,sl,-1.0,2.0,,41.67%,2016
May 24 2016,Tuesday,14:15,15:00,00:45,New York,35.4,0.0,,6.90%,12.79%,21.25%,LC-2A,bearish,True,sl,-1.0,2.0,,21.25%,2016
