trade_count,roi_r,expectancy_r,strike_rate,tp_hits,sl_hits,resolved,unresolved,max_drawdown_r,total_threshold,htf_threshold,sl_buffer_pips,tp_desc,tp_spec,family,tp_floor_ok
8,11.526583048514578,1.4408228810643222,0.5,1,1,2,6,1.1753986332573905,40.0,35.0,8.0,"htf>=35, total>=40","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
11,14.776583048514578,1.3433257316831435,0.4,2,3,5,6,2.1753986332573905,35.0,35.0,8.0,"htf>=35, total>=35","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
16,19.99666068663787,1.249791292914867,0.4,2,3,5,11,2.4049257382170306,40.0,25.0,8.0,"htf>=25, total>=40","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
35,35.962286813650586,1.0274939089614452,0.21052631578947367,4,15,19,16,5.0,25.0,25.0,8.0,"htf>=25, total>=25","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
23,23.408675465840187,1.0177684985147908,0.2727272727272727,3,8,11,12,4.175398633257391,30.0,30.0,8.0,"htf>=30, total>=30","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
33,33.33219891374592,1.0100666337498763,0.2222222222222222,4,14,18,15,5.0,30.0,25.0,8.0,"htf>=25, total>=30","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
23,22.408675465840187,0.9742902376452255,0.25,3,9,12,11,4.175398633257391,25.0,30.0,8.0,"htf>=30, total>=25","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
14,12.659395548514572,0.9042425391796123,0.25,2,6,8,6,3.1753986332573905,25.0,35.0,8.0,"htf>=35, total>=25","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
14,12.659395548514572,0.9042425391796123,0.25,2,6,8,6,3.1753986332573905,30.0,35.0,8.0,"htf>=35, total>=30","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
17,13.246660686637872,0.7792153345081101,0.2857142857142857,2,5,7,10,3.4049257382170306,35.0,30.0,8.0,"htf>=30, total>=35","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(34.15000000000248), 'low': 10.0, 'high': 5.25}",sl_size,True
