trade_count,roi_r,expectancy_r,strike_rate,tp_hits,sl_hits,resolved,unresolved,max_drawdown_r,total_threshold,htf_threshold,sl_buffer_pips,tp_desc,tp_spec,family,tp_floor_ok
21,11.2186812610872,0.5342229171946286,0.8125,13,3,16,5,1.240628778718274,50.0,45.0,6.0,"htf>=45, total>=50","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
22,10.2186812610872,0.4644855118676,0.7647058823529411,13,4,17,5,1.240628778718274,50.0,40.0,6.0,"htf>=40, total>=50","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
27,12.4686812610872,0.4618030096698963,0.7391304347826086,17,6,23,4,2.0,40.0,45.0,6.0,"htf>=45, total>=40","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
26,11.2186812610872,0.4314877408110461,0.75,15,5,20,6,1.240628778718274,45.0,45.0,6.0,"htf>=45, total>=45","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
27,11.4686812610872,0.42476597263285926,0.7083333333333334,17,7,24,3,3.0,25.0,45.0,6.0,"htf>=45, total>=25","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
27,11.4686812610872,0.42476597263285926,0.7083333333333334,17,7,24,3,3.0,30.0,45.0,6.0,"htf>=45, total>=30","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
27,11.4686812610872,0.42476597263285926,0.7083333333333334,17,7,24,3,3.0,35.0,45.0,6.0,"htf>=45, total>=35","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
25,10.2186812610872,0.408747250443488,0.7368421052631579,14,5,19,6,1.240628778718274,50.0,25.0,6.0,"htf>=25, total>=50","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
25,10.2186812610872,0.408747250443488,0.7368421052631579,14,5,19,6,1.240628778718274,50.0,30.0,6.0,"htf>=30, total>=50","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
24,9.2186812610872,0.3841117192119667,0.7222222222222222,13,5,18,6,1.240628778718274,50.0,35.0,6.0,"htf>=35, total>=50","{'family': 'sl_size', 'field': 'sl_pips', 'cut': np.float64(23.699999999999477), 'low': 1.25, 'high': 1.0}",sl_size,True
