Timeframe,Gate/Model,Sub-Path,Factor,Weight
Daily,Always,,Swing,1.979
Daily,Always,,Internal,0.795
Daily,Always,,Fractal,1.91
Daily,Always,,In Internal OTE,1
Daily,Mitigation OB,,Swept Liquidity,0.8843
Daily,Mitigation OB,Swept Liquidity,Swing,0.865
Daily,Mitigation OB,Swept Liquidity,Internal,0.865
Daily,Mitigation OB,Swept Liquidity,Fractal,0.865
Daily,Mitigation OB,Swept Liquidity,Old Points,0.865
Daily,Mitigation OB,Swept Liquidity,Equals,0.865
Daily,Mitigation OB,Swept Liquidity,LRLQ,1.0
Daily,Mitigation OB,Swept Liquidity,FVG Liquidity,0.865
Daily,Mitigation OB,Swept Liquidity,Previous Candle H/L,1
Daily,Mitigation OB,,Has Inducement,1.501
Daily,Mitigation OB,,Caused Imbalance,1.423
Daily,Mitigation OB,,Caused Displacement,1
Daily,Mitigation OB,,Flip Zone,1
Daily,OB Target,,Swept Liquidity,0.976
Daily,OB Target,Swept Liquidity,Swing,0.972
Daily,OB Target,Swept Liquidity,Internal,0.972
Daily,OB Target,Swept Liquidity,Fractal,0.972
Daily,OB Target,Swept Liquidity,Old Points,0.972
Daily,OB Target,Swept Liquidity,Equals,0.972
Daily,OB Target,Swept Liquidity,LRLQ,1.0
Daily,OB Target,Swept Liquidity,FVG Liquidity,0.972
Daily,OB Target,Swept Liquidity,Previous Candle H/L,1
Daily,OB Target,,Has Inducement,0.881
Daily,OB Target,,Caused Imbalance,1.073
Daily,OB Target,,Caused Displacement,1
Daily,OB Target,,Flip Zone,1
Daily,Swept Liquidity,Structural Liquidity,Swing,1.239
Daily,Swept Liquidity,Structural Liquidity,Internal,1.239
Daily,Swept Liquidity,Structural Liquidity,Fractal,1.239
Daily,Swept Liquidity,Structural Liquidity,Old Points,1.239
Daily,Swept Liquidity,,Equals,1.1
Daily,Swept Liquidity,,FVG,0.996
Daily,Swept Liquidity,,LRLQ,1.0
Daily,Swept Liquidity,,Previous Week H/L,1.0
