Timeframe,Gate/Model,Sub-Path,Factor,Weight
Daily,Always,,Swing,1.0237
Daily,Always,,Internal,0.5615
Daily,Always,,Fractal,1.0242
Daily,Always,,In Internal OTE,0.6226
Daily,Mitigation OB,,Swept Liquidity,0.9789
Daily,Mitigation OB,Swept Liquidity,Swing,1
Daily,Mitigation OB,Swept Liquidity,Internal,1
Daily,Mitigation OB,Swept Liquidity,Fractal,0.9849
Daily,Mitigation OB,Swept Liquidity,Old Points,0.95
Daily,Mitigation OB,Swept Liquidity,FVG Liquidity,0.5107
Daily,Mitigation OB,Swept Liquidity,Equals,0.9429
Daily,Mitigation OB,Swept Liquidity,Previous Candle H/L,0.6391
Daily,Mitigation OB,,Has Inducement,1.0542
Daily,Mitigation OB,,Caused Imbalance,1.1649
Daily,Mitigation OB,,Caused Displacement,1.4231
Daily,Mitigation OB,,Flip Zone,1.4232
Daily,Swept Liquidity,Structural Liquidity,Swing,1.0474
Daily,Swept Liquidity,Structural Liquidity,Internal,1.0421
Daily,Swept Liquidity,Structural Liquidity,Fractal,0.9337
Daily,Swept Liquidity,Structural Liquidity,Old Points,0.995
Daily,Swept Liquidity,,Equals,1.0474
Daily,Swept Liquidity,,FVG,1.5166
Daily,OB Target,,Swept Liquidity,1.1487
Daily,OB Target,Swept Liquidity,Swing,0.9975
Daily,OB Target,Swept Liquidity,Internal,1
Daily,OB Target,Swept Liquidity,Fractal,1.2699
Daily,OB Target,Swept Liquidity,Old Points,1
Daily,OB Target,Swept Liquidity,FVG Liquidity,1.149
Daily,OB Target,Swept Liquidity,Equals,1.0474
Daily,OB Target,Swept Liquidity,Previous Candle H/L,1.1291
Daily,OB Target,,Has Inducement,1.7515
Daily,OB Target,,Caused Imbalance,1.5846
Daily,OB Target,,Caused Displacement,1.7513
Daily,OB Target,,Flip Zone,0.8693
Daily,Liquidity Target,,Equals,0.8912
Daily,Liquidity Target,,Low Resistance Liquidity,1.0345
Daily,Liquidity Target,,FVG Liquidity,1.1531
